,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
200,2,3.676,0.211,0.086,1.377,5.5,1.0,[22  4],0.4293230219306162,56.4,0.5184
201,2,3.726,0.27,0.048,1.402,8.0,0.0,[ 6 20],0.5402041423888608,71.81,0.609
202,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,53.13,0.4271
203,2,3.379,0.15,0.114,1.642,5.0,0.0,[ 7 19],0.5824922438849605,58.38,0.40809999999999996
204,2,3.726,0.282,0.065,1.548,8.0,0.0,[ 8 18],0.6172417697303416,62.53,0.6091
205,3,3.639,0.452,0.168,2.014,7.667,0.3333333333333333,[ 7 16  3],0.9012262508973273,53.87,0.6983
206,2,2.562,0.145,0.087,1.468,4.0,0.5,[21  5],0.4895518936229288,67.75,0.3403
207,2,3.379,0.274,0.069,1.566,7.0,0.0,[ 8 18],0.6172417697303416,61.35,0.5636
208,2,3.367,0.136,0.093,1.429,4.0,1.0,[ 4 22],0.4293230219306162,74.19,0.4076
209,2,3.379,0.123,0.123,1.703,4.0,0.0,[ 7 19],0.5824922438849605,60.35,0.37479999999999997
210,3,3.514,0.392,0.161,2.314,6.667,0.3333333333333333,[16  4  6],0.9251290835720822,53.05,0.6307
211,3,2.253,0.25,0.12,2.009,4.667,0.3333333333333333,[ 9 15  2],0.88186313134152,48.32,0.3913
212,2,3.726,0.354,0.045,1.539,8.5,0.0,[ 9 17],0.6450331516760341,70.92,0.6951
213,3,2.492,0.284,0.23,2.11,5.333,0.3333333333333333,[ 6 18  2],0.7902679680745903,55.11,0.3722
214,2,3.726,0.253,0.066,1.612,7.5,0.0,[11 15],0.6812657296632041,56.11,0.5794
215,2,3.738,0.251,0.043,1.368,7.0,0.5,[ 5 21],0.4895518936229288,68.59,0.5947
216,3,3.482,0.306,0.148,2.056,5.667,0.3333333333333333,[ 8  3 15],0.9291687604839372,49.31,0.5506
217,3,2.276,0.312,0.088,2.0,6.0,0.3333333333333333,[15  9  2],0.88186313134152,56.94,0.478
218,3,3.283,0.387,0.109,2.082,7.667,0.3333333333333333,[ 6 16  4],0.9251290835720823,55.92,0.639
219,3,3.347,0.402,0.119,2.017,7.667,0.3333333333333333,[ 4 14  8],0.9839614460010255,54.68,0.6534
