,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,4,2.104,0.692,0.078,1.946,8.25,0.5,[15  7  3  3],1.1595688747491681,93.17,0.80646
1,4,2.131,0.464,0.077,2.57,5.5,0.5,[13  4  6  5],1.2719450291388334,95.62,0.58239
2,3,1.827,0.234,0.131,2.054,4.667,0.3333333333333333,[19  6  3],0.8325354285489529,98.78,0.25557
3,3,1.407,0.193,0.131,1.571,2.0,1.0,[22  4  2],0.6559757323365467,98.44,0.17257
4,3,1.943,0.478,0.116,1.647,8.333,1.0,[20  5  3],0.787287656630395,105.15,0.52962
5,3,1.878,0.104,0.068,1.465,2.333,1.0,[24  3  1],0.4904499103768102,93.38,0.20815999999999998
6,3,2.255,0.322,0.048,1.676,4.667,0.3333333333333333,[14 13  1],0.8218065008318611,94.63,0.48846
7,4,1.691,0.416,0.099,2.336,4.0,0.25,[ 7 14  6  1],1.1422498504120202,78.06,0.46333
8,5,2.239,0.401,0.076,2.567,5.0,0.6,[ 8 10  5  4  1],1.4302848576741607,82.17,0.53142
9,3,2.405,0.5,-0.009,1.411,8.0,0.3333333333333333,[10 15  3],0.9414030525867062,94.07,0.7515700000000001
10,3,2.286,0.176,0.069,1.421,3.667,1.0,[22  4  2],0.6559757323365467,93.97,0.31972999999999996
11,4,2.117,0.505,0.05,1.904,6.0,0.5,[ 8 15  4  1],1.0892951246590825,89.64,0.6552
12,3,2.361,0.176,0.071,1.513,4.667,0.6666666666666666,[19  4  5],0.8487506669319027,95.49,0.32477
13,4,2.146,0.321,0.073,1.804,4.5,0.75,[17  5  5  1],1.0372400111288942,106.94,0.44581000000000004
14,3,1.943,0.434,0.112,2.138,6.333,0.3333333333333333,[17  5  6],0.9406911806575431,89.88,0.49054
15,5,1.524,0.482,0.125,2.581,5.0,0.8,[15  5  4  3  1],1.2783131927042202,78.48,0.48065
16,3,2.351,0.493,0.067,2.121,7.333,0.0,[14  8  6],1.0346012329101812,96.21,0.64569
17,4,1.763,0.492,0.07,2.101,5.25,0.5,[ 8 13  5  2],1.2102988707563092,83.99,0.5821999999999999
18,3,0.999,0.196,0.145,2.098,2.667,1.0,[22  3  3],0.6681113778219323,93.53,0.11755000000000003
19,5,2.133,0.673,0.006,1.9,5.6,0.6,[5 1 8 9 5],1.4570283439678586,75.92,0.8789199999999999
20,5,1.314,0.181,0.13,1.952,2.8,0.6,[16  8  2  1  1],1.1042314298039513,76.95,0.1525
21,5,1.314,0.328,0.089,2.356,3.0,0.4,[12  8  6  1  1],1.2891699049515246,72.37,0.34993
22,3,1.962,0.31,0.137,2.474,4.0,0.3333333333333333,[17  4  7],0.92751967671726,16845.56,0.33768999999999993
23,5,2.299,0.565,0.064,2.557,5.4,0.2,[7 7 6 6 2],1.541842007366956,78.05,0.7161799999999999
24,5,1.649,0.446,0.065,2.186,4.4,0.4,[ 6 11  9  1  1],1.2999750097403333,77.21,0.53095
