,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,5,1.754,0.487,0.087,2.455,4.8,0.6,[13  6  4  4  1],1.3613026047706527,124.76,0.55539
1,4,1.457,0.474,0.104,2.222,4.75,0.5,[ 7 15  5  1],1.1075861665291022,54.95,0.49177999999999994
2,5,1.404,0.344,0.092,1.962,4.0,0.8,[15  5  4  3  1],1.2783131927042202,47.14,0.37124
3,5,1.353,0.474,0.066,1.95,5.0,0.6,[14  7  5  1  1],1.2387986808833713,45.34,0.5281199999999999
4,4,1.715,0.346,0.113,2.282,4.0,0.25,[14  6  6  2],1.1952684170869834,46.22,0.37851
5,4,1.691,0.496,0.061,1.918,6.75,0.5,[ 7 15  5  1],1.1075861665291022,46.35,0.59007
6,5,2.058,0.493,0.13,3.496,4.4,0.6,[9 4 6 5 4],1.5585215650850635,42.81,0.5388999999999999
7,3,1.943,0.427,0.077,2.019,7.0,0.3333333333333333,[16  7  5],0.9739909329825542,67.37,0.52659
8,5,1.36,0.268,0.093,1.647,4.0,0.8,[17  5  3  2  1],1.1574206659519757,49.83,0.28961000000000003
9,4,1.691,0.341,0.032,1.456,4.5,0.5,[17  9  1  1],0.9057885085687165,56.82,0.47074000000000005
10,5,1.145,0.281,0.1,2.216,2.6,0.6,[16  6  4  1  1],1.1658775881864756,52.58,0.2725
11,5,2.052,0.484,0.115,3.277,4.8,0.8,[10  5  5  4  4],1.5389693336308972,54.92,0.54775
12,5,1.694,0.46,0.111,2.521,5.2,0.4,[8 9 2 7 2],1.4463290353505027,44.09,0.49287000000000003
13,3,2.887,0.286,0.074,2.261,5.333,0.3333333333333333,[16  5  7],0.9739909329825542,53.72,0.48368
14,4,2.117,0.532,0.091,2.042,6.0,0.25,[9 8 5 6],1.3604795134965078,52.36,0.63177
15,3,1.878,0.387,0.108,2.101,6.333,0.3333333333333333,[17  5  6],0.9406911806575431,56.24,0.44196
16,5,2.076,0.458,0.099,2.473,4.0,0.8,[15  5  4  3  1],1.2783131927042202,46.02,0.54383
17,5,1.881,0.491,0.095,1.989,4.6,0.6,[12  6  4  5  1],1.397854380908261,45.9,0.5622499999999999
18,5,1.92,0.62,0.083,2.507,5.4,0.6,[ 5 11  5  6  1],1.4314265123005105,47.63,0.70991
19,4,1.643,0.135,0.056,1.71,2.25,0.5,[17  9  1  1],0.9057885085687165,47.56,0.23042
20,5,1.694,0.499,0.072,2.426,5.0,0.6,[10  4  8  5  1],1.4302848576741607,44.51,0.57984
21,5,1.649,0.258,0.207,2.107,3.8,0.8,[18  4  2  2  2],1.1275347898191255,42.7,0.16829
