,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,4,1.643,0.287,0.09,2.071,4.25,0.75,[17  5  5  1],1.0372400111288942,42.36,0.3406
1,4,2.117,0.417,0.079,2.273,4.75,0.25,[ 8 11  8  1],1.201921914901652,54.38,0.53153
2,5,1.314,0.304,0.087,2.149,3.4,0.6,[14  7  5  1  1],1.2387986808833713,134.33,0.32839
3,5,1.888,0.52,0.067,1.919,5.8,0.8,[ 5 16  3  3  1],1.2250515512460733,64.9,0.62639
4,5,1.453,0.39,0.064,1.96,3.6,0.8,[16  4  5  2  1],1.2129159057606878,55.94,0.45658
5,4,1.409,0.234,0.099,2.262,3.5,0.5,[15  5  7  1],1.1075861665291022,57.8,0.25313
6,4,1.691,0.406,0.109,2.306,4.25,0.5,[ 8 14  5  1],1.1311500633815321,59.83,0.44103000000000003
7,5,1.166,0.497,0.048,1.848,5.2,0.6,[14  8  4  1  1],1.2205076390133514,64.76,0.55456
8,5,1.732,0.565,0.062,2.322,5.4,0.6,[ 4 13  6  4  1],1.3613026047706527,58.39,0.66194
9,4,1.816,0.197,-0.006,1.259,3.0,1.0,[22  3  2  1],0.7363093244249479,65.91,0.38598
10,3,1.943,0.466,0.089,2.257,6.333,0.0,[ 9 13  6],1.0511359509468368,72.15,0.55083
11,5,1.705,0.351,0.076,1.951,3.6,0.8,[19  3  3  1  2],1.0492649138433854,62.59,0.42801999999999996
12,3,2.405,0.229,0.102,2.171,4.667,0.3333333333333333,[19  6  3],0.8325354285489529,70.27,0.34404
13,3,2.405,0.297,0.027,1.555,5.333,0.3333333333333333,[19  6  3],0.8325354285489529,73.44,0.5042899999999999
14,4,1.096,0.259,0.194,2.816,3.25,0.75,[18  4  3  3],1.040649409510233,57.85,0.12998
15,4,2.117,0.436,0.114,2.698,5.0,0.5,[13  6  5  4],1.2719450291388334,57.71,0.5074799999999999
16,3,1.878,0.176,0.119,2.295,4.333,0.3333333333333333,[14 10  4],0.9922819748525737,67.58,0.21742999999999998
17,5,1.881,0.45,0.056,2.052,4.6,0.4,[ 7 13  6  1  1],1.270909170683936,58.39,0.5692200000000001
18,5,1.314,0.338,0.084,2.281,3.0,0.4,[13  7  6  1  1],1.270909170683936,54.68,0.36608
19,5,1.92,0.645,0.017,1.622,6.4,0.4,[ 6  7 13  1  1],1.270909170683936,60.45,0.81609
20,4,2.117,0.433,0.115,2.603,5.5,0.25,[8 9 4 7],1.3473080095562247,60.2,0.50325
21,5,1.314,0.358,0.089,2.094,3.6,0.6,[15  7  4  1  1],1.1969437421609215,54.83,0.37993
22,5,1.492,0.297,0.193,2.574,3.6,0.8,[18  3  4  2  1],1.1088473561132488,56.09,0.20881
23,4,2.117,0.495,0.103,2.605,6.0,0.25,[ 8 10  6  4],1.3337360272028096,58.61,0.58001
24,4,1.86,0.412,0.14,2.891,4.5,0.5,[11 11  4  2],1.2005913742050751,55.84,0.42579999999999996
25,3,2.361,0.2,0.094,2.028,5.0,0.3333333333333333,[17  5  6],0.9406911806575431,67.76,0.32048000000000004
26,5,1.485,0.382,0.161,3.339,4.0,0.6,[11  6  4  3  4],1.4924332040639945,53.54,0.33247000000000004
27,4,1.715,0.214,0.105,2.138,4.0,0.5,[15  7  4  2],1.1474332292637826,57.58,0.25635
28,4,1.857,0.365,0.12,2.63,4.25,0.5,[15  6  4  3],1.181764362232869,54.79,0.4031
29,4,2.423,0.399,0.084,2.347,4.25,0.25,[9 8 9 2],1.2760663285105422,57.8,0.53798
30,4,1.804,0.411,0.144,2.816,5.0,0.5,[ 9 11  5  3],1.2788153807115294,54.87,0.41428
31,5,1.73,0.393,0.135,2.578,3.8,0.8,[13  5  5  3  2],1.3993169388014468,60.16,0.39995
32,5,1.591,0.374,0.075,2.126,3.8,0.6,[11  7  5  4  1],1.4182550083602277,52.69,0.44084999999999996
33,3,1.878,0.235,0.111,2.307,4.667,0.3333333333333333,[15  8  5],0.9999375490272633,58.18,0.28626999999999997
34,3,1.901,0.317,0.105,2.185,5.333,0.0,[16  6  6],0.9799711820833054,64.82,0.37795
35,5,2.239,0.501,0.085,2.445,5.0,0.6,[ 8 12  3  4  1],1.3573678515545402,54.5,0.62035
36,5,1.881,0.599,0.03,1.68,6.2,0.6,[11 10  5  1  1],1.280422778286167,57.19,0.7502
37,3,2.286,0.137,0.06,1.733,3.0,0.3333333333333333,[17  9  2],0.8562779956715776,57.87,0.2918
38,5,1.353,0.351,0.074,2.262,3.6,0.6,[10 11  5  1  1],1.280422778286167,54.59,0.39527999999999996
39,3,1.943,0.478,0.085,2.072,7.333,0.3333333333333333,[ 9 15  4],0.9771705224238221,70.39,0.56775
40,3,2.361,0.327,0.1,2.033,4.333,0.3333333333333333,[18  6  4],0.8921178708188162,69.51,0.44010000000000005
41,5,1.833,0.5,0.092,2.64,4.8,0.6,[ 7  5 11  4  1],1.4182550083602277,60.71,0.57014
