,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,1.901,0.192,0.117,2.111,5.0,0.3333333333333333,[15 10  3],0.9414030525867062,30.62,0.23818999999999999
1,4,2.094,0.509,0.05,1.997,5.75,0.5,[ 8 14  5  1],1.1311500633815321,32.71,0.6569
2,4,2.117,0.521,0.047,1.861,6.25,0.25,[11  6 10  1],1.183873947814816,33.39,0.67489
3,3,1.878,0.237,0.103,2.307,4.667,0.3333333333333333,[14  5  9],1.019025461146272,43.95,0.29811
4,3,1.878,0.243,0.105,2.132,4.333,0.6666666666666666,[18  5  5],0.8993091256583479,43.66,0.30165
5,5,1.353,0.295,0.12,1.951,3.8,0.6,[10 14  2  1  1],1.1408135135439907,39.07,0.2827
6,3,0.999,0.108,0.089,1.533,2.0,1.0,[23  4  1],0.558577924073418,63.37,0.09843
7,4,1.683,0.314,0.038,2.185,5.0,0.5,[ 1 15  4  8],1.0892951246590823,57.48,0.43556
8,5,1.754,0.412,0.129,3.016,3.4,0.6,[12  4  6  5  1],1.397854380908261,41.83,0.42872999999999994
9,3,1.596,0.202,0.117,1.772,4.667,1.0,[21  4  3],0.7330621707939262,60.4,0.21769000000000002
10,5,1.694,0.57,0.1,2.082,6.2,0.6,[ 6 15  3  3  1],1.2620979543212705,42.22,0.6164
11,5,1.63,0.41,0.131,2.883,3.8,0.4,[12  6  6  3  1],1.3816391425253114,43.09,0.41186999999999996
12,3,1.878,0.187,0.068,1.455,4.0,1.0,[22  5  1],0.6161286696018664,60.48,0.29116
13,5,1.605,0.428,0.094,2.541,4.8,0.6,[ 6 13  4  4  1],1.3613026047706527,43.41,0.47287999999999997
14,5,1.881,0.493,0.102,2.22,5.2,0.6,[ 9 10  4  4  1],1.4075178310707197,41.16,0.5556399999999999
15,3,2.286,0.287,0.092,2.077,5.333,0.3333333333333333,[16  7  5],0.9739909329825542,44.57,0.40244
16,3,1.311,0.047,0.094,1.545,1.667,1.0,[23  4  1],0.558577924073418,56.06,0.062479999999999994
17,5,1.694,0.642,0.052,2.258,6.0,0.4,[6 8 8 5 1],1.472604115731768,42.24,0.74744
18,4,1.706,0.383,0.082,2.305,4.25,0.25,[ 9 10  6  3],1.3019450170559506,44.76,0.45274000000000003
19,5,1.673,0.324,0.106,2.5,4.0,0.8,[15  4  4  4  1],1.2873371762476382,45.36,0.36092
20,4,1.258,0.26,0.056,1.476,2.75,0.75,[ 6 20  1  1],0.8084472856591985,49.47,0.31692
21,5,2.191,0.524,0.086,2.638,5.0,0.6,[ 7 13  5  2  1],1.3179474882581481,48.25,0.63732
22,4,1.905,0.554,0.154,2.624,6.0,0.5,[ 7 13  4  4],1.2587735251985503,56.36,0.55508
23,3,1.943,0.298,0.039,1.497,5.333,0.3333333333333333,[19  8  1],0.7400661909751662,57.99,0.44433
24,5,1.711,0.528,0.068,1.986,5.0,0.6,[ 7 13  4  3  1],1.3391071172869515,43.4,0.61546
25,3,1.878,0.325,0.137,2.195,5.0,0.3333333333333333,[18  7  3],0.8699223833351152,63.82,0.34429
26,3,2.479,0.386,0.026,1.771,8.333,0.3333333333333333,[10 16  2],0.8760057656431737,53.28,0.60192
27,3,1.365,0.114,0.077,1.444,3.333,1.0,[ 2 23  3],0.5894010032646803,68.81,0.15579
28,5,1.382,0.354,0.101,2.615,3.6,0.6,[15  6  3  2  2],1.2807853880271471,48.36,0.36796999999999996
29,5,1.449,0.421,0.144,2.678,4.2,0.6,[14  3  6  4  1],1.3129768765871381,42.82,0.38878
30,4,0.983,0.179,0.072,1.693,1.5,0.75,[20  6  1  1],0.8084472856591985,52.23,0.18874000000000002
31,5,1.694,0.549,0.091,2.455,5.4,0.6,[ 7 11  5  4  1],1.4182550083602277,39.65,0.6064700000000001
32,4,1.643,0.355,0.116,2.038,4.25,0.5,[18  3  6  1],0.9724514629072174,49.63,0.37661999999999995
33,4,2.117,0.484,0.049,2.251,5.25,0.25,[10 10  6  2],1.254041901733449,43.74,0.6354299999999999
34,3,1.878,0.152,0.067,1.471,3.0,1.0,[22  5  1],0.6161286696018664,57.93,0.25739
35,5,1.881,0.459,0.023,1.546,5.4,0.6,[14  9  3  1  1],1.1887166288664923,40.45,0.6188100000000001
36,4,2.086,0.318,0.157,2.188,5.0,0.75,[17  5  4  2],1.0770870738635745,43.49,0.33348999999999995
37,3,1.596,0.218,0.124,2.158,4.667,0.3333333333333333,[18  6  4],0.8921178708188162,52.7,0.22508000000000003
38,4,1.701,0.396,0.154,2.868,4.75,0.75,[15  5  4  4],1.197979600615819,53.57,0.37668
39,3,1.407,0.144,0.089,1.533,2.333,1.0,[21  5  2],0.7119025417651226,51.01,0.17523
40,5,1.85,0.491,0.079,2.121,4.6,0.6,[ 9 11  3  4  1],1.368172956343349,38.39,0.57883
41,3,1.311,0.0,0.027,1.0,0.0,1.0,[26  1  1],0.3068291534409705,60.77,0.09789
42,4,1.582,0.197,0.024,1.48,3.25,0.5,[18  6  3  1],0.9724514629072174,53.25,0.32568
43,3,2.768,0.422,0.055,2.181,6.667,0.0,[ 9 13  6],1.0511359509468368,54.34,0.63115
44,4,1.691,0.49,0.118,2.039,4.75,0.75,[ 5 18  4  1],0.9886667012901671,45.54,0.51396
45,3,1.878,0.14,0.066,1.545,3.333,0.6666666666666666,[21  6  1],0.6648642241909106,52.19,0.24662
46,3,1.407,0.19,0.087,1.68,2.333,0.6666666666666666,[20  6  2],0.7589367727620595,52.11,0.22369
47,5,1.591,0.487,0.091,2.567,4.6,0.4,[8 7 7 5 1],1.4777236536615048,42.91,0.53417
48,5,2.015,0.49,0.048,2.17,5.2,0.6,[ 7 14  3  3  1],1.290781389103437,43.5,0.63246
49,4,1.409,0.345,0.134,2.12,4.25,0.5,[16  8  3  1],1.0360334832009355,46.23,0.32108
50,5,1.673,0.292,0.104,2.622,3.6,0.8,[14  4  5  4  1],1.3291921149700878,43.58,0.33138
51,5,1.524,0.357,0.144,2.39,4.2,0.6,[14  7  4  2  1],1.2786457436180516,42.0,0.33228
52,4,1.409,0.273,0.109,2.212,3.75,0.5,[13 10  4  1],1.1209412951244897,41.44,0.27983
53,4,2.351,0.513,0.061,2.242,5.25,0.25,[ 8 10  9  1],1.209475779482164,58.28,0.6730700000000001
54,3,2.675,0.454,0.022,1.994,8.333,0.0,[ 7 15  6],1.0110373360577514,59.62,0.69444
55,5,1.127,0.332,0.119,2.071,3.2,0.8,[19  3  4  1  1],1.0184418346521231,47.48,0.29833
56,4,2.423,0.434,0.044,1.844,6.5,0.5,[14  7  5  2],1.1892881679862324,52.42,0.62218
57,3,2.109,0.326,0.073,1.889,6.0,0.3333333333333333,[18  4  6],0.8921178708188161,57.3,0.44711
58,4,2.166,0.466,0.05,2.147,5.75,0.25,[ 8 10  9  1],1.209475779482164,48.01,0.6211
59,3,1.878,0.175,0.047,1.267,3.667,1.0,[24  3  1],0.4904499103768102,61.43,0.30499
60,5,1.372,0.336,0.143,2.671,3.6,0.6,[13  3  7  3  2],1.3699301964782138,42.36,0.2973100000000001
61,5,2.068,0.506,0.086,2.543,5.0,0.6,[ 8  4  3 12  1],1.3573678515545402,44.88,0.60702
62,3,1.943,0.453,0.076,2.007,8.0,0.3333333333333333,[16  7  5],0.9739909329825542,50.06,0.55382
63,5,1.694,0.547,0.073,1.85,5.2,0.6,[10  5  7  5  1],1.4485758995441806,39.3,0.6266100000000001
64,4,2.284,0.293,0.043,1.735,4.75,0.75,[17  5  5  1],1.0372400111288942,54.2,0.46851
65,4,1.457,0.549,0.084,1.998,6.25,0.5,[15  7  5  1],1.1075861665291022,48.21,0.59138
66,5,1.661,0.407,0.074,2.274,4.6,0.6,[11  8  5  3  1],1.3909399829467897,40.59,0.48207999999999995
67,5,1.353,0.356,0.023,1.366,4.2,0.6,[ 7 18  1  1  1],0.9876308428352698,44.98,0.46301000000000003
68,4,2.117,0.432,0.045,1.875,6.5,0.5,[ 6 16  5  1],1.0765200125546563,55.2,0.5883499999999999
69,5,1.314,0.297,0.124,2.006,3.4,0.6,[16  7  3  1  1],1.1436821007027747,44.33,0.27588
70,5,1.446,0.202,0.049,1.488,2.6,0.8,[19  5  2  1  1],0.9972822056233197,50.61,0.28633000000000003
71,5,1.694,0.602,0.072,2.296,5.4,0.8,[14  5  5  3  1],1.3201681314266698,42.91,0.68284
72,5,1.895,0.573,0.046,1.874,5.8,0.4,[10  8  7  2  1],1.3797384863221245,39.11,0.70592
73,5,1.353,0.527,0.034,1.429,5.0,0.6,[10 13  3  1  1],1.2012748872128909,39.35,0.62048
74,3,1.878,0.322,0.133,2.286,5.333,0.3333333333333333,[16  7  5],0.9739909329825542,59.51,0.34621
75,5,1.694,0.558,0.121,2.744,4.4,0.6,[12  7  4  4  1],1.384682876967978,41.86,0.57857
76,3,2.852,0.346,0.029,1.965,5.667,0.3333333333333333,[16  7  5],0.9739909329825542,61.49,0.59553
77,4,2.091,0.175,0.088,2.133,2.75,0.75,[18  5  4  1],0.9886667012901671,51.68,0.27586
78,4,1.691,0.265,0.049,1.683,3.5,0.5,[11 15  1  1],0.9394330452710886,46.19,0.37383
79,4,1.409,0.19,0.116,2.063,3.5,0.5,[17  7  3  1],1.0078532688056612,45.77,0.18822
80,4,1.409,0.188,0.054,1.421,3.0,1.0,[22  4  1  1],0.7054862452336856,48.73,0.26248
81,4,2.351,0.234,0.088,2.211,3.25,0.75,[18  4  5  1],0.9886667012901671,49.09,0.36086000000000007
82,3,1.407,0.165,0.116,1.633,1.667,1.0,[23  3  2],0.5894010032646803,53.61,0.16302
83,5,1.694,0.46,0.093,2.226,5.2,0.6,[12  7  5  3  1],1.37565889342456,39.08,0.51501
84,3,1.692,0.264,0.113,1.871,4.333,1.0,[20  5  3],0.787287656630395,59.92,0.29420999999999997
85,3,1.311,0.144,0.087,1.533,2.333,1.0,[22  5  1],0.6161286696018664,58.35,0.16809
86,4,1.498,0.246,0.176,2.858,3.75,0.5,[17  6  3  2],1.0608718354806246,47.71,0.17932
87,5,1.881,0.51,0.053,2.139,4.8,0.4,[13  7  6  1  1],1.270909170683936,44.68,0.6329100000000001
88,4,1.715,0.379,0.113,2.025,4.5,0.75,[17  4  5  2],1.0770870738635745,43.14,0.41151000000000004
89,4,1.715,0.311,0.122,2.254,3.75,0.5,[15  5  6  2],1.1606047332040657,41.48,0.33244
90,3,1.926,0.379,0.072,1.875,6.0,0.3333333333333333,[17  5  6],0.9406911806575431,62.8,0.48304
