,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,3.222,0.462,0.041,1.341,8.333,0.3333333333333333,[ 8  4 14],0.9839614460010255,35.49,0.75345
1,3,2.101,0.212,0.007,1.253,3.667,1.0,[21  3  2],0.6189772142016319,35.99,0.41685
2,3,1.612,0.085,0.329,2.036,2.0,1.0,[22  2  2],0.5359610497090694,32.55,-0.0005499999999999949
3,3,3.491,0.431,0.148,2.077,7.333,0.3333333333333333,[ 8  4 14],0.9839614460010255,29.29,0.6691
4,3,2.484,0.393,0.181,1.942,6.667,0.3333333333333333,[17  6  3],0.8653649791626999,42.06,0.50565
5,3,3.339,0.388,0.173,2.205,6.667,0.3333333333333333,[ 8 14  4],0.9839614460010255,33.53,0.59215
6,2,3.379,0.188,0.063,1.58,7.5,0.0,[12 14],0.6901856760188042,60.52,0.47864999999999996
7,3,3.491,0.314,0.183,2.273,5.667,0.3333333333333333,[ 6 16  4],0.9251290835720823,33.48,0.52585
8,3,3.514,0.394,0.169,2.275,6.333,0.3333333333333333,[11  4 11],1.0158321747121084,32.86,0.6186499999999999
9,3,3.491,0.314,0.183,2.273,5.667,0.3333333333333333,[ 6 16  4],0.9251290835720823,33.18,0.52585
10,2,3.391,0.168,0.102,1.655,5.5,0.0,[ 8 18],0.6172417697303416,46.83,0.43060000000000004
11,2,1.869,0.069,0.183,1.471,1.5,1.0,[23  3],0.3576271598532216,44.94,0.11865000000000003
12,2,3.726,0.388,-0.003,1.48,11.0,0.0,[16 10],0.666278442414676,41.79,0.76285
13,3,2.484,0.42,0.146,1.958,7.333,0.3333333333333333,[16  7  3],0.9012262508973273,43.61,0.5589
14,2,3.391,0.162,0.071,1.488,5.5,0.0,[ 6 20],0.5402041423888608,41.18,0.44785
15,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,51.14,0.4219
16,2,3.605,0.298,0.085,1.554,8.0,0.0,[19  7],0.5824922438849605,58.32,0.59475
17,3,3.306,0.489,0.101,2.075,8.0,0.0,[12  6  8],1.0579054247036734,31.6,0.74385
18,2,3.379,0.149,0.088,1.64,5.5,0.0,[ 9 17],0.6450331516760341,48.52,0.42089999999999994
19,2,3.726,0.215,0.08,1.624,6.5,0.0,[ 9 17],0.6450331516760341,46.55,0.5276
20,3,2.253,0.207,0.192,2.15,4.0,0.3333333333333333,[ 8 15  3],0.9291687604839372,37.97,0.2883
21,3,3.283,0.344,0.123,2.254,7.0,0.0,[ 8  7 11],1.0798753311904068,36.81,0.58005
22,2,1.869,0.022,0.265,1.648,1.0,1.0,[24  2],0.2711893730418441,54.22,0.010149999999999992
23,3,3.283,0.371,0.146,2.245,6.667,0.0,[ 7 13  6],1.0382400185693472,35.19,0.5898
24,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,49.16,0.4054
25,2,3.391,0.181,0.078,1.533,5.5,0.0,[ 7 19],0.5824922438849605,41.85,0.4616
26,3,2.746,0.421,0.156,1.743,8.0,0.3333333333333333,[14 10  2],0.8981370031878679,35.99,0.5786
27,2,2.418,0.063,0.222,1.39,2.0,1.0,[24  2],0.2711893730418441,54.69,0.1383
28,2,3.726,0.332,0.067,1.527,8.5,0.5,[21  5],0.4895518936229288,47.99,0.65435
29,3,3.171,0.457,0.11,2.045,8.0,0.0,[ 9  7 10],1.088010262277112,29.14,0.6916
30,2,3.523,0.187,0.086,1.653,5.5,0.0,[ 9 17],0.6450331516760341,42.57,0.4748
31,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,41.56,0.44934999999999997
32,2,3.223,0.265,0.072,1.45,6.5,0.5,[21  5],0.4895518936229288,49.38,0.5333
33,3,3.326,0.493,0.133,1.898,8.667,0.3333333333333333,[ 4 15  7],0.9585849416984087,36.34,0.72585
34,3,1.978,0.204,0.211,1.731,3.333,0.6666666666666666,[20  3  3],0.7001611840565405,38.94,0.24355
35,3,2.253,0.166,0.157,2.318,4.0,0.3333333333333333,[ 8 15  3],0.9291687604839372,40.2,0.27355
36,3,2.403,0.323,0.14,1.899,5.667,0.3333333333333333,[18  6  2],0.7902679680745903,29.63,0.45830000000000004
37,2,3.391,0.14,0.077,1.489,4.5,0.5,[ 5 21],0.4895518936229288,42.37,0.42135
38,3,3.287,0.433,0.105,1.913,7.667,0.3333333333333333,[16  6  4],0.9251290835720823,40.68,0.68295
39,3,3.283,0.313,0.148,2.37,6.333,0.0,[ 8  7 11],1.0798753311904068,34.12,0.5303
40,3,2.484,0.313,0.143,1.569,5.667,0.3333333333333333,[ 8 16  2],0.8587409130062867,36.69,0.45415000000000005
41,2,3.535,0.282,0.071,1.662,7.5,0.0,[13 13],0.6931471805599453,45.17,0.58225
42,3,2.253,0.172,0.206,2.093,3.667,0.3333333333333333,[ 5 18  3],0.8207996891635668,35.84,0.2428
43,3,3.582,0.364,0.174,2.293,6.333,0.3333333333333333,[ 9 13  4],1.0017680654251162,37.27,0.5916999999999999
44,2,3.223,0.248,0.05,1.469,7.0,0.0,[19  7],0.5824922438849605,45.71,0.5327999999999999
45,3,3.081,0.296,0.102,1.604,5.667,0.3333333333333333,[ 7 15  4],0.9585849416984087,35.53,0.5276
46,2,3.59,0.299,0.057,1.573,7.5,0.0,[10 16],0.666278442414676,36.98,0.61525
47,3,3.394,0.434,0.083,1.88,8.0,0.0,[ 7 14  5],1.0036594910918162,33.8,0.7111500000000001
48,3,1.843,0.137,0.226,1.757,2.667,0.6666666666666666,[20  2  4],0.6870920273799715,32.09,0.1518
49,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,45.25,0.39215
50,3,2.38,0.121,0.153,1.349,3.0,1.0,[21  3  2],0.6189772142016319,39.89,0.24425
51,2,1.869,0.069,0.183,1.471,1.5,1.0,[23  3],0.3576271598532216,45.02,0.11865000000000003
52,3,3.339,0.472,0.121,2.053,8.0,0.0,[ 7 14  5],1.0036594910918162,35.55,0.71515
53,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,38.93,0.44934999999999997
54,3,3.641,0.505,0.076,1.944,8.667,0.0,[11  6  9],1.0695416913993137,32.21,0.8121
55,3,2.253,0.16,0.246,2.333,3.667,0.3333333333333333,[ 8 16  2],0.8587409130062867,35.07,0.2008
56,2,2.418,0.063,0.222,1.39,2.0,1.0,[24  2],0.2711893730418441,48.35,0.1383
57,3,3.514,0.383,0.096,2.214,7.667,0.0,[ 9  7 10],1.088010262277112,28.11,0.6624
58,2,3.379,0.12,0.101,1.632,4.5,0.0,[ 6 20],0.5402041423888608,42.55,0.38215
