,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,3.339,0.344,0.147,2.252,7.0,0.0,[ 6 14  6],1.0100997593541636,39.39,0.56765
1,2,3.59,0.394,0.044,1.562,9.5,0.0,[15 11],0.6812657296632041,54.43,0.72
2,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,49.66,0.44934999999999997
3,3,3.171,0.418,0.093,1.992,7.667,0.0,[ 7  8 11],1.0798753311904068,33.65,0.6653499999999999
4,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,52.28,0.44934999999999997
5,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,52.12,0.4054
6,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,53.55,0.39215
7,2,3.379,0.143,0.087,1.62,5.0,0.0,[ 7 19],0.5824922438849605,50.24,0.41564999999999996
8,3,3.465,0.558,0.073,1.881,9.333,0.0,[ 9 11  6],1.0695416913993137,37.59,0.84975
9,3,3.081,0.317,0.165,1.973,5.333,0.3333333333333333,[ 8 15  3],0.9291687604839372,37.29,0.50135
10,3,3.339,0.458,0.126,2.183,7.333,0.0,[10  5 11],1.0484854421409806,34.98,0.6974
11,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,52.84,0.39215
12,3,3.283,0.56,0.077,1.798,9.667,0.0,[ 7 12  7],1.0634187732433902,31.73,0.8305500000000001
13,3,3.491,0.333,0.186,2.331,5.667,0.3333333333333333,[ 8  4 14],0.9839614460010255,28.24,0.5426
14,2,3.223,0.088,0.046,1.933,3.5,1.0,[22  4],0.4293230219306162,43.77,0.37579999999999997
15,3,3.177,0.526,0.094,1.994,9.0,0.0,[ 6 13  7],1.0382400185693474,31.19,0.7732
16,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,47.49,0.44934999999999997
17,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,41.64,0.44934999999999997
18,2,3.379,0.12,0.101,1.632,4.5,0.0,[ 6 20],0.5402041423888608,40.32,0.38215
19,2,3.379,0.127,0.09,1.622,4.5,0.0,[ 6 20],0.5402041423888608,49.23,0.3974
20,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,45.51,0.39215
21,2,3.223,0.214,0.05,1.45,6.5,0.0,[19  7],0.5824922438849605,50.41,0.49879999999999997
22,3,1.708,0.097,0.125,1.461,1.667,1.0,[21  3  2],0.6189772142016319,35.47,0.17405
23,2,3.605,0.304,0.075,1.614,8.5,0.0,[18  8],0.6172417697303416,52.03,0.60825
24,2,2.909,0.029,0.017,0.982,1.0,1.0,[24  2],0.2711893730418441,51.99,0.30715
25,2,3.379,0.115,0.142,1.538,4.5,1.0,[ 4 22],0.4293230219306162,48.24,0.3464
26,2,3.223,0.2,0.007,1.175,6.0,0.5,[21  5],0.4895518936229288,43.66,0.51705
27,3,1.246,0.032,0.163,1.647,1.333,1.0,[23  2  1],0.431071102348777,38.98,0.034350000000000006
28,3,2.946,0.426,0.099,2.027,7.333,0.3333333333333333,[16  3  7],0.9012262508973273,41.38,0.64635
29,3,3.408,0.458,0.072,1.923,8.0,0.0,[ 9 11  6],1.0695416913993137,38.63,0.7448
30,2,3.391,0.249,0.016,1.265,6.5,0.5,[ 5 21],0.4895518936229288,47.96,0.5761000000000001
31,3,3.363,0.39,0.143,2.099,7.0,0.0,[ 6 15  5],0.9727696382494828,41.54,0.6190500000000001
32,2,3.379,0.233,0.082,1.652,6.0,0.0,[10 16],0.666278442414676,44.68,0.5094
33,2,3.379,0.174,0.077,1.614,6.0,0.0,[ 7 19],0.5824922438849605,54.92,0.45414999999999994
34,3,3.363,0.356,0.129,2.224,7.0,0.0,[ 7 12  7],1.0634187732433902,38.35,0.59555
35,3,2.253,0.243,0.108,1.912,4.667,0.3333333333333333,[ 7 17  2],0.8283929898113759,36.02,0.3873
36,2,3.726,0.336,0.041,1.541,8.5,0.0,[10 16],0.666278442414676,47.63,0.6778500000000001
37,3,3.375,0.516,0.042,2.032,8.333,0.0,[15  6  5],0.9727696382494828,38.1,0.8220000000000001
38,3,2.403,0.317,0.162,2.036,5.667,0.3333333333333333,[16  6  4],0.9251290835720823,37.52,0.4358
39,3,3.351,0.438,0.129,2.125,7.667,0.0,[ 6 13  7],1.0382400185693474,41.74,0.67635
40,2,3.726,0.266,0.029,1.468,8.5,0.0,[ 9 17],0.6450331516760341,49.43,0.61685
41,2,3.379,0.12,0.101,1.632,4.5,0.0,[ 6 20],0.5402041423888608,43.34,0.38215
42,3,3.463,0.362,0.148,2.22,7.0,0.0,[10  5 11],1.0484854421409806,28.23,0.5972999999999999
43,3,2.261,0.233,0.195,1.991,4.333,0.3333333333333333,[ 5 18  3],0.8207996891635668,37.75,0.3128500000000001
44,3,2.253,0.207,0.192,2.15,4.0,0.3333333333333333,[ 8 15  3],0.9291687604839372,33.08,0.2883
45,2,3.726,0.275,0.109,1.545,6.5,0.5,[21  5],0.4895518936229288,49.21,0.56585
46,3,2.715,0.29,0.109,1.939,6.0,0.3333333333333333,[ 6  4 16],0.9251290835720822,32.62,0.47974999999999995
47,3,3.678,0.594,0.034,1.729,10.333,0.0,[10  8  8],1.0928305535284886,37.17,0.9363
48,2,3.605,0.213,0.15,1.64,5.5,0.5,[21  5],0.4895518936229288,50.12,0.46099999999999997
49,3,3.177,0.411,0.107,1.978,8.0,0.0,[ 7 10  9],1.088010262277112,36.88,0.64845
50,2,3.552,0.357,0.001,1.343,10.0,0.0,[18  8],0.6172417697303416,40.19,0.71145
51,2,3.391,0.214,0.058,1.53,7.0,0.0,[ 8 18],0.6172417697303416,42.72,0.5096
52,3,3.514,0.399,0.164,2.246,6.667,0.3333333333333333,[12  4 10],1.0123308391031733,33.03,0.6274
53,2,3.726,0.311,0.08,1.548,7.0,0.5,[21  5],0.4895518936229288,50.85,0.6235999999999999
54,3,3.283,0.339,0.131,2.267,7.0,0.0,[ 7 12  7],1.0634187732433902,33.61,0.5690500000000001
55,3,2.619,0.161,0.194,2.042,3.667,0.3333333333333333,[ 6  2 18],0.7902679680745903,34.38,0.2774
56,2,3.379,0.123,0.123,1.703,4.0,0.0,[ 7 19],0.5824922438849605,47.26,0.36865
57,3,3.557,0.41,0.129,2.09,7.333,0.0,[ 7 14  5],1.0036594910918162,39.93,0.6689499999999999
58,2,3.391,0.138,0.085,1.5,5.0,0.5,[ 5 21],0.4895518936229288,46.31,0.41335
59,2,3.379,0.12,0.101,1.632,4.5,0.0,[ 6 20],0.5402041423888608,50.73,0.38215
60,2,3.535,0.251,0.061,1.557,7.5,0.0,[ 8 18],0.6172417697303416,36.36,0.5587500000000001
61,3,3.514,0.373,0.153,2.137,7.0,0.3333333333333333,[ 7 15  4],0.9585849416984087,39.0,0.60965
62,3,2.536,0.192,0.065,1.389,3.333,0.3333333333333333,[19  5  2],0.7435648254271451,35.92,0.39685
63,3,3.514,0.477,0.068,1.792,7.667,0.3333333333333333,[11 13  2],0.9078086915252533,34.09,0.7774
64,3,3.397,0.432,0.133,2.055,7.667,0.0,[ 6 15  5],0.9727696382494828,34.34,0.67195
65,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,49.38,0.44934999999999997
66,3,3.134,0.389,0.019,1.52,7.667,0.0,[14  5  7],1.003659491091816,35.38,0.68815
67,2,3.255,0.184,0.058,1.525,5.5,0.0,[20  6],0.5402041423888608,45.18,0.46599999999999997
68,3,2.253,0.222,0.127,1.999,4.0,0.3333333333333333,[ 7 17  2],0.8283929898113759,38.67,0.35205
69,2,2.418,0.063,0.222,1.39,2.0,1.0,[24  2],0.2711893730418441,50.07,0.1383
70,3,3.283,0.328,0.158,2.244,6.333,0.0,[ 7 14  5],1.0036594910918162,38.37,0.5378000000000001
71,3,2.253,0.243,0.175,2.061,5.0,0.3333333333333333,[ 7 16  3],0.9012262508973273,40.49,0.33705
72,2,3.726,0.275,0.109,1.545,6.5,0.5,[21  5],0.4895518936229288,56.67,0.56585
73,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,55.12,0.44934999999999997
74,2,3.605,0.419,0.041,1.502,10.5,0.0,[18  8],0.6172417697303416,63.93,0.74875
75,3,3.283,0.339,0.132,2.317,6.667,0.0,[ 5 14  7],1.003659491091816,39.03,0.5683
76,3,3.482,0.271,0.155,2.089,5.0,0.3333333333333333,[ 8  3 15],0.9291687604839372,36.65,0.50295
77,2,3.517,0.385,0.026,1.537,10.0,0.0,[11 15],0.6812657296632041,39.72,0.7172000000000001
78,3,2.253,0.131,0.17,2.262,3.667,0.3333333333333333,[ 5 18  3],0.8207996891635668,41.67,0.2288
79,3,2.349,0.244,0.164,2.022,4.667,0.3333333333333333,[ 7 16  3],0.9012262508973273,33.98,0.3559
80,3,2.715,0.166,0.123,1.974,4.0,0.3333333333333333,[ 6  3 17],0.8653649791627,34.58,0.34524999999999995
81,3,3.283,0.305,0.167,2.263,6.0,0.0,[ 6 15  5],0.9727696382494828,34.68,0.50805
82,3,2.515,0.328,0.215,1.886,5.667,0.3333333333333333,[18  2  6],0.7902679680745903,36.98,0.41825
83,3,3.514,0.51,0.078,2.076,8.0,0.0,[10  5 11],1.0484854421409806,32.08,0.8029
84,3,3.326,0.358,0.124,2.284,7.0,0.0,[ 7 10  9],1.088010262277112,30.83,0.5976
85,2,3.586,0.414,0.017,1.499,10.5,0.0,[10 16],0.666278442414676,51.43,0.7598499999999999
86,2,3.713,0.144,0.121,1.39,3.5,1.0,[23  3],0.3576271598532216,48.31,0.42455
87,2,3.379,0.12,0.101,1.632,4.5,0.0,[ 6 20],0.5402041423888608,48.79,0.38215
88,3,2.865,0.356,0.12,2.063,7.0,0.3333333333333333,[15  3  8],0.9291687604839372,38.2,0.5525
89,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,48.31,0.4219
90,3,3.397,0.375,0.171,2.08,7.0,0.3333333333333333,[ 6 16  4],0.9251290835720823,32.56,0.58645
91,2,1.869,0.022,0.265,1.648,1.0,1.0,[24  2],0.2711893730418441,52.96,0.010149999999999992
92,2,3.605,0.213,0.15,1.64,5.5,0.5,[21  5],0.4895518936229288,49.99,0.46099999999999997
93,3,3.312,0.276,0.157,1.619,4.667,0.6666666666666666,[19  4  3],0.7663521182273951,39.37,0.48945000000000005
94,3,2.492,0.296,0.129,1.569,5.667,0.3333333333333333,[10 14  2],0.8981370031878679,40.63,0.44845
95,3,3.67,0.385,0.149,1.669,7.0,0.3333333333333333,[ 6 18  2],0.7902679680745903,33.57,0.64025
96,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,51.23,0.39215
97,3,2.484,0.368,0.111,1.848,6.0,0.3333333333333333,[18  6  2],0.7902679680745903,38.99,0.53315
98,3,2.253,0.231,0.15,1.611,4.333,0.3333333333333333,[ 7 17  2],0.8283929898113759,38.24,0.3438
99,2,3.662,0.325,0.107,1.542,7.5,0.5,[21  5],0.4895518936229288,57.85,0.61095
