,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,3.177,0.504,0.099,2.064,8.333,0.0,[ 8  7 11],1.0798753311904068,32.6,0.74745
1,3,3.326,0.353,0.143,2.088,7.0,0.0,[ 5 15  6],0.9727696382494826,39.11,0.57835
2,2,3.379,0.123,0.123,1.703,4.0,0.0,[ 7 19],0.5824922438849605,42.01,0.36865
3,2,3.726,0.218,0.068,1.544,6.5,0.0,[ 7 19],0.5824922438849605,46.0,0.5396
4,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,37.9,0.44934999999999997
5,3,2.484,0.302,0.264,1.994,4.333,0.6666666666666666,[20  3  3],0.7001611840565405,42.03,0.3524
6,2,3.726,0.397,0.031,1.504,10.0,0.0,[10 16],0.666278442414676,55.68,0.7463500000000001
7,3,3.283,0.36,0.133,2.163,7.333,0.0,[ 5 14  7],1.003659491091816,37.61,0.5885499999999999
8,3,2.253,0.274,0.105,1.9,5.333,0.3333333333333333,[ 7 17  2],0.8283929898113759,34.41,0.42055000000000003
9,3,2.484,0.313,0.17,1.825,4.667,1.0,[21  3  2],0.6189772142016319,38.41,0.4339
10,2,3.605,0.25,0.112,1.686,7.0,0.0,[19  7],0.5824922438849605,48.89,0.5265
11,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,45.0,0.39215
12,2,3.726,0.253,0.169,1.48,5.5,1.0,[23  3],0.3576271598532216,57.07,0.49885
13,3,3.386,0.425,0.126,1.748,6.667,0.0,[16  5  5],0.9328735118608089,34.27,0.6691
14,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,44.43,0.44934999999999997
15,3,3.283,0.383,0.157,2.236,6.667,0.0,[ 7 14  5],1.0036594910918162,34.26,0.59355
16,2,3.535,0.365,0.053,1.625,8.5,0.0,[13 13],0.6931471805599453,47.72,0.67875
17,3,3.099,0.306,0.124,1.742,5.333,0.0,[ 6 15  5],0.9727696382494828,28.48,0.5229
18,3,2.632,0.365,0.091,1.858,6.333,0.3333333333333333,[17  3  6],0.8653649791627,34.94,0.55995
19,3,3.514,0.417,0.168,2.137,7.0,0.3333333333333333,[10  3 13],0.9632492517543758,33.64,0.6424
20,2,1.869,0.069,0.183,1.471,1.5,1.0,[23  3],0.3576271598532216,44.31,0.11865000000000003
21,2,3.605,0.25,0.112,1.686,7.0,0.0,[19  7],0.5824922438849605,48.72,0.5265
22,3,3.177,0.431,0.114,2.109,7.667,0.0,[ 8  8 10],1.0928305535284886,37.21,0.6632
23,3,2.253,0.231,0.189,2.096,4.333,0.3333333333333333,[ 7 16  3],0.9012262508973273,34.6,0.31455
24,2,3.379,0.123,0.123,1.703,4.0,0.0,[ 7 19],0.5824922438849605,47.79,0.36865
25,3,3.506,0.388,0.156,2.213,6.667,0.3333333333333333,[ 9 13  4],1.0017680654251162,35.2,0.6215999999999999
26,3,2.619,0.145,0.202,2.043,3.333,0.3333333333333333,[ 5  2 19],0.7435648254271452,34.6,0.25539999999999996
27,2,3.391,0.138,0.085,1.5,5.0,0.5,[ 5 21],0.4895518936229288,46.51,0.41335
28,3,3.177,0.431,0.114,2.109,7.667,0.0,[ 8  8 10],1.0928305535284886,36.41,0.6632
29,2,3.535,0.269,0.063,1.624,8.0,0.0,[12 14],0.6901856760188042,44.09,0.57525
30,2,1.869,0.022,0.265,1.648,1.0,1.0,[24  2],0.2711893730418441,45.67,0.010149999999999992
31,2,2.418,0.063,0.222,1.39,2.0,1.0,[24  2],0.2711893730418441,48.12,0.1383
32,3,2.209,0.252,0.172,1.897,4.333,0.3333333333333333,[18  5  3],0.8207996891635668,38.06,0.3439
33,3,3.418,0.438,0.172,2.01,7.667,0.3333333333333333,[ 4 17  5],0.8828275435751076,29.07,0.6508
34,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,52.09,0.4054
35,3,2.476,0.212,0.21,1.855,3.333,0.6666666666666666,[20  3  3],0.7001611840565405,34.23,0.3021
36,3,3.363,0.543,0.088,1.79,9.333,0.3333333333333333,[ 4 14  8],0.9839614460010255,35.06,0.8133
37,3,3.177,0.436,0.099,2.036,8.0,0.0,[9 8 9],1.0971128947333808,29.19,0.67945
38,3,2.345,0.295,0.197,2.056,4.0,0.6666666666666666,[20  3  3],0.7001611840565405,41.52,0.38175000000000003
39,2,3.379,0.127,0.09,1.622,4.5,0.0,[ 6 20],0.5402041423888608,45.65,0.3974
40,2,3.379,0.161,0.109,1.674,5.5,0.0,[ 8 18],0.6172417697303416,58.34,0.41714999999999997
41,2,3.223,0.37,0.041,1.463,8.5,0.0,[16 10],0.666278442414676,45.84,0.66155
42,3,2.253,0.142,0.243,2.272,3.667,0.3333333333333333,[ 6 18  2],0.7902679680745903,37.89,0.18505
