,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,3.491,0.361,0.199,2.205,6.0,0.3333333333333333,[ 8  3 15],0.9291687604839372,30.43,0.5608500000000001
1,3,3.397,0.377,0.197,2.122,6.667,0.3333333333333333,[ 5 17  4],0.8828275435751075,39.79,0.5689500000000001
2,2,3.605,0.297,0.104,1.61,7.0,0.0,[20  6],0.5402041423888608,46.01,0.5794999999999999
3,2,3.535,0.333,0.047,1.601,9.0,0.0,[14 12],0.6901856760188042,38.31,0.6512500000000001
4,3,2.619,0.15,0.187,2.031,3.667,0.3333333333333333,[ 6  2 18],0.7902679680745903,36.46,0.27165000000000006
5,2,1.869,0.022,0.265,1.648,1.0,1.0,[24  2],0.2711893730418441,50.22,0.010149999999999992
6,2,3.391,0.157,0.105,1.612,5.0,0.0,[ 7 19],0.5824922438849605,42.35,0.41735
7,2,3.726,0.392,0.019,1.516,10.0,0.0,[10 16],0.666278442414676,46.1,0.7503500000000001
8,2,3.726,0.205,0.171,1.659,4.5,1.0,[22  4],0.4293230219306162,42.26,0.44934999999999997
9,2,3.605,0.303,0.056,1.537,8.5,0.0,[18  8],0.6172417697303416,51.45,0.6214999999999999
10,2,3.726,0.275,0.109,1.545,6.5,0.5,[21  5],0.4895518936229288,51.66,0.56585
11,3,3.299,0.365,0.153,2.253,6.667,0.0,[ 9 12  5],1.0411315166502328,37.36,0.5801499999999999
12,2,3.605,0.297,0.104,1.61,7.0,0.0,[20  6],0.5402041423888608,42.2,0.5794999999999999
13,2,1.869,0.069,0.183,1.471,1.5,1.0,[23  3],0.3576271598532216,49.46,0.11865000000000003
14,3,3.491,0.428,0.083,2.033,8.0,0.0,[ 6 13  7],1.0382400185693474,29.71,0.71485
15,3,3.514,0.347,0.175,2.33,6.0,0.3333333333333333,[10  4 12],1.0123308391031733,36.17,0.56715
16,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,47.99,0.4219
17,3,2.261,0.304,0.095,1.762,5.333,0.3333333333333333,[ 6 18  2],0.7902679680745903,36.34,0.45885
18,3,3.491,0.383,0.176,2.141,7.0,0.3333333333333333,[10  3 13],0.9632492517543758,33.75,0.6001000000000001
19,2,3.523,0.18,0.037,1.423,6.5,0.0,[ 6 20],0.5402041423888608,47.99,0.50455
20,2,3.391,0.14,0.077,1.489,4.5,0.5,[ 5 21],0.4895518936229288,53.39,0.42135
21,3,2.492,0.334,0.155,1.952,6.333,0.3333333333333333,[10 13  3],0.9632492517543757,35.82,0.46695000000000003
22,2,1.869,0.074,0.112,1.462,2.0,1.0,[22  4],0.4293230219306162,51.42,0.1769
23,2,3.517,0.446,0.028,1.465,9.5,0.0,[16 10],0.666278442414676,55.81,0.7767
