,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,4,2.462,0.33,0.266,2.951,4.75,0.5,[ 7 12  5  2],1.224491354785575,44.59,0.13198000000000004
1,4,3.171,0.467,0.159,2.538,7.0,0.5,[ 4 10  5  7],1.3258046541761854,35.21,0.51857
2,3,2.642,0.295,0.191,2.041,6.333,0.3333333333333333,[14  2 10],0.8981370031878679,46.27,0.24023
3,3,3.052,0.454,0.102,1.917,9.0,0.0,[ 6 12  8],1.0579054247036734,39.77,0.58886
4,2,2.215,0.032,0.082,1.471,2.0,1.0,[22  4],0.4293230219306162,62.95,0.11655999999999997
5,3,3.283,0.454,0.109,2.039,8.667,0.3333333333333333,[ 8 13  5],1.0262864017672835,39.89,0.6002700000000001
6,2,3.402,0.167,0.09,1.614,5.5,0.0,[ 8 18],0.6172417697303416,50.48,0.3569
7,2,3.605,0.213,0.15,1.64,5.5,1.0,[21  5],0.4895518936229288,55.8,0.32299999999999995
8,3,2.738,0.463,0.057,1.859,8.333,0.3333333333333333,[16  4  6],0.9251290835720822,38.27,0.64161
9,4,2.958,0.711,0.092,1.649,9.25,0.5,[ 3 12  4  7],1.2472786475858246,38.78,0.8531599999999999
10,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,60.73,0.28819
11,4,2.91,0.505,0.221,2.353,6.0,0.75,[18  2  4  2],0.937155853065701,40.14,0.42693000000000003
12,3,3.283,0.354,0.152,2.269,6.667,0.0,[ 8  6 12],1.0579054247036734,44.96,0.42845999999999995
13,3,3.481,0.5,0.084,1.981,9.333,0.0,[13  7  6],1.0382400185693472,42.28,0.7078199999999999
14,3,2.619,0.145,0.202,2.043,3.333,0.6666666666666666,[ 5  2 19],0.7435648254271452,48.39,0.06955999999999998
15,4,3.084,0.462,0.192,2.524,6.5,0.5,[ 6 12  5  3],1.2614633441368988,44.69,0.44976000000000005
16,3,2.642,0.402,0.184,1.875,7.667,0.3333333333333333,[17  2  7],0.828392989811376,53.02,0.35892
17,4,1.982,0.447,0.235,2.347,5.75,0.5,[15  2  6  3],1.1021949588281859,46.19,0.25275000000000003
18,3,3.351,0.325,0.184,2.276,6.0,0.3333333333333333,[ 6 15  5],0.9727696382494828,47.69,0.35282
19,4,1.69,0.267,0.102,1.937,3.75,0.5,[ 7 16  1  2],0.9746701933928827,43.74,0.26566
20,2,3.605,0.243,0.126,1.611,6.5,0.5,[20  6],0.5402041423888608,67.59,0.39308
21,4,2.462,0.393,0.217,2.73,5.25,0.5,[ 8  5 10  3],1.296388472961714,40.5,0.27681000000000006
22,2,3.605,0.213,0.15,1.64,5.5,1.0,[21  5],0.4895518936229288,64.2,0.32299999999999995
23,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,69.88,0.28819
24,4,2.462,0.446,0.103,2.377,7.0,0.5,[ 7 12  5  2],1.224491354785575,38.76,0.52019
25,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,56.13,0.28819
26,3,2.611,0.188,0.198,1.829,3.667,1.0,[ 4 20  2],0.6870920273799715,41.15,0.11843999999999999
27,3,2.403,0.235,0.284,2.276,4.333,0.6666666666666666,[19  5  2],0.7435648254271451,47.61,0.0010200000000000764
28,3,3.434,0.384,0.148,2.239,7.0,0.3333333333333333,[11  5 10],1.0484854421409806,42.43,0.48024000000000006
29,2,3.535,0.282,0.071,1.662,7.5,0.0,[13 13],0.6931471805599453,59.08,0.51693
30,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,53.32,0.30419999999999997
31,3,3.283,0.324,0.169,2.337,6.0,0.3333333333333333,[ 9  5 12],1.0411315166502328,47.66,0.37007
32,4,1.964,0.188,0.22,2.665,3.5,0.5,[ 6  2 15  3],1.1021949588281859,39.76,0.016999999999999987
33,2,3.402,0.201,0.075,1.578,6.5,0.0,[11 15],0.6812657296632041,67.16,0.41595000000000004
34,4,3.084,0.458,0.161,2.654,6.25,0.25,[8 8 6 4],1.3516811946858949,36.54,0.49753000000000003
35,2,3.414,0.238,0.069,1.697,7.5,0.0,[15 11],0.6812657296632041,51.69,0.46417
36,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,59.37,0.28819
37,3,1.612,0.085,0.329,2.036,2.0,1.0,[22  2  2],0.5359610497090694,56.78,-0.30322999999999994
38,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,54.63,0.30419999999999997
39,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,49.1,0.30419999999999997
40,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,57.51,0.32622
41,2,3.414,0.285,0.071,1.675,7.5,0.0,[14 12],0.6901856760188042,55.31,0.50783
42,4,3.391,0.537,0.162,2.559,7.25,0.25,[7 3 8 8],1.3277783620111399,39.38,0.6055600000000001
43,3,2.642,0.469,0.178,1.954,7.667,0.3333333333333333,[16  2  8],0.8587409130062869,45.21,0.43594
44,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,52.41,0.28819
45,2,3.726,0.204,0.096,1.69,6.0,0.0,[10 16],0.666278442414676,56.29,0.41628
46,3,3.283,0.324,0.169,2.337,6.0,0.3333333333333333,[ 9  5 12],1.0411315166502328,42.78,0.37007
47,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,60.24,0.28819
48,4,3.139,0.499,0.155,2.725,6.25,0.5,[8 5 4 9],1.3349072866324543,35.62,0.5540499999999999
49,3,3.283,0.386,0.11,2.27,7.333,0.0,[ 7 10  9],1.088010262277112,38.77,0.5306
50,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,54.37,0.28819
51,2,3.535,0.282,0.071,1.662,7.5,0.0,[13 13],0.6931471805599453,57.02,0.51693
52,4,1.69,0.213,0.182,2.287,3.25,0.5,[ 9 14  2  1],1.0231689160307327,41.9,0.07805999999999999
53,3,3.081,0.352,0.083,1.835,6.333,0.3333333333333333,[ 8 15  3],0.9291687604839372,41.94,0.52149
54,3,2.253,0.207,0.192,2.15,4.0,0.3333333333333333,[ 8 15  3],0.9291687604839372,42.03,0.11166000000000001
55,2,3.569,0.376,0.042,1.579,10.5,0.0,[10 16],0.666278442414676,80.27,0.66276
56,3,3.283,0.527,0.081,1.964,9.667,0.0,[ 6 14  6],1.0100997593541636,38.58,0.72003
57,4,2.893,0.367,0.273,2.559,4.75,0.75,[ 5  2 16  3],1.0622988324395122,36.04,0.20038999999999996
58,4,2.462,0.311,0.272,2.89,4.75,0.75,[ 5 14  5  2],1.164732072634001,34.76,0.10296
59,2,3.605,0.243,0.126,1.611,6.5,0.5,[20  6],0.5402041423888608,68.32,0.39308
60,2,3.535,0.281,0.054,1.664,8.5,0.0,[14 12],0.6901856760188042,48.35,0.5443200000000001
61,2,3.414,0.257,0.059,1.63,8.5,0.0,[17  9],0.6450331516760341,72.78,0.49987000000000004
62,3,3.283,0.417,0.077,2.097,7.0,0.3333333333333333,[ 7 14  5],1.0036594910918162,44.33,0.61671
63,4,2.636,0.437,0.208,2.629,6.0,0.5,[10  4  9  3],1.2718701366195466,39.47,0.35324000000000005
64,3,3.283,0.354,0.152,2.269,6.667,0.0,[ 8  6 12],1.0579054247036734,39.61,0.42845999999999995
65,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,77.71,0.28819
66,3,2.642,0.373,0.193,2.034,6.333,0.3333333333333333,[14  2 10],0.8981370031878679,47.78,0.31489
67,4,2.462,0.34,0.252,2.878,5.25,0.5,[ 8 11  5  2],1.2409479127325915,41.52,0.16536000000000006
68,4,3.397,0.612,0.115,1.814,8.75,0.25,[6 9 4 7],1.3468609034345183,34.99,0.7596499999999999
69,4,2.785,0.358,0.244,2.413,4.75,0.75,[ 3 16  2  5],1.062298832439512,40.46,0.22902000000000006
