,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
400,3,1.943,0.476,0.062,2.075,7.333,0.3333333333333333,[ 9 15  4],0.9771705224238221,63.46,0.5897
401,4,2.117,0.499,0.123,2.557,5.75,0.5,[15  6  4  3],1.181764362232869,42.69,0.5508
402,4,1.643,0.16,0.044,1.607,2.5,0.5,[18  8  1  1],0.8799822253334306,47.06,0.2671
403,4,1.691,0.538,0.109,2.159,5.0,0.25,[ 6 16  5  1],1.0765200125546563,41.91,0.5654
404,3,2.109,0.216,0.097,1.906,5.333,0.3333333333333333,[17  8  3],0.9002046513038222,50.73,0.30079999999999996
405,4,1.691,0.35,0.084,2.062,5.25,0.5,[15  8  4  1],1.0892951246590825,43.81,0.40989999999999993
406,3,2.675,0.405,0.062,2.122,6.667,0.0,[14  8  6],1.0346012329101812,56.51,0.5919
407,3,2.286,0.311,0.101,2.053,4.333,0.3333333333333333,[18  7  3],0.8699223833351152,49.0,0.4083
408,4,2.016,0.408,0.111,2.645,4.75,0.25,[14  5  3  6],1.223619300955319,41.32,0.46529999999999994
409,3,1.943,0.467,0.077,2.131,7.0,0.0,[ 9 14  5],1.019025461146272,57.98,0.5612
410,4,1.457,0.43,0.086,2.302,4.5,0.25,[ 8 13  6  1],1.163260553182097,41.58,0.4639
411,4,1.409,0.227,0.091,2.078,4.0,0.5,[16  4  7  1],1.0633485086143735,41.0,0.2496
412,4,2.117,0.342,0.131,2.772,5.0,0.5,[15  4  4  5],1.197979600615819,38.5,0.3834
413,3,2.887,0.444,0.059,2.142,7.0,0.0,[ 7 15  6],1.0110373360577514,57.21,0.656
414,4,1.409,0.304,0.095,1.906,4.75,0.5,[18  4  5  1],0.9886667012901671,50.39,0.3214
415,4,1.643,0.283,0.117,1.795,3.75,0.75,[20  4  3  1],0.8766452322622142,45.18,0.29519999999999996
416,3,2.109,0.204,0.094,1.73,5.0,0.3333333333333333,[20  5  3],0.787287656630395,58.38,0.29269999999999996
417,4,2.201,0.198,0.092,2.109,3.75,0.25,[15  5  6  2],1.1606047332040657,39.39,0.29850000000000004
418,3,1.878,0.35,0.099,2.111,5.333,0.0,[17  6  5],0.9406911806575431,39.65,0.40909999999999996
419,4,1.691,0.522,0.078,2.037,6.25,0.5,[17  6  4  1],1.0300487562893623,49.53,0.5897
420,3,1.943,0.461,0.092,2.289,6.667,0.0,[18  5  5],0.8993091256583479,52.07,0.5357000000000001
421,4,2.456,0.446,0.098,2.577,5.75,0.5,[ 6 14  4  4],1.2326432844987367,48.32,0.5642
422,4,0.983,0.144,0.087,1.462,1.75,1.0,[22  4  1  1],0.7054862452336856,47.5,0.12919999999999998
423,4,1.409,0.334,0.195,2.456,5.25,0.5,[17  5  4  2],1.0770870738635745,42.58,0.2214
424,4,1.409,0.225,0.103,2.022,4.0,0.5,[18  5  4  1],0.9886667012901671,40.63,0.232
425,4,1.917,0.379,0.121,2.781,4.5,0.0,[12  6  5  5],1.3084968052764419,44.73,0.4134
426,3,2.109,0.34,0.078,2.013,6.667,0.0,[16  6  6],0.9799711820833054,56.32,0.4495
427,3,2.479,0.383,0.085,2.303,5.333,0.0,[12  7  9],1.074516223144162,42.03,0.5204
428,4,1.903,0.403,0.082,2.102,5.0,0.5,[12  8  4  4],1.277034259466139,42.83,0.4867
429,3,1.878,0.305,0.117,2.171,4.333,0.3333333333333333,[18  6  4],0.8921178708188162,50.18,0.3407
430,4,1.409,0.369,0.116,2.046,4.25,0.5,[18  4  5  1],0.9886667012901671,51.32,0.3591
431,4,2.15,0.689,0.048,2.356,8.0,0.25,[11  8  4  5],1.3106063908583885,54.06,0.8415999999999999
432,3,2.823,0.457,0.063,2.095,7.0,0.0,[ 8 15  5],0.9999375490272633,63.01,0.6574
433,3,1.878,0.333,0.112,2.297,5.333,0.0,[15  7  6],1.0110373360577514,48.93,0.3752
434,4,1.643,0.34,0.102,2.307,3.75,0.25,[14  6  7  1],1.1422498504120202,42.49,0.37170000000000003
435,3,1.943,0.385,0.103,2.328,5.333,0.0,[10  6 12],1.060944240790747,54.21,0.4454
436,3,2.109,0.381,0.095,2.205,6.0,0.0,[15  6  7],1.0110373360577514,56.29,0.46840000000000004
437,3,1.943,0.477,0.102,1.965,7.0,0.3333333333333333,[ 7 18  3],0.8699223833351152,50.89,0.5387
438,4,1.409,0.213,0.156,1.807,4.0,0.5,[19  6  2  1],0.9007333751519686,50.85,0.15109999999999998
439,3,1.407,0.193,0.131,1.571,2.0,1.0,[22  4  2],0.6559757323365467,65.0,0.1634
440,4,1.691,0.548,0.104,2.129,5.0,0.25,[ 5 17  5  1],1.0372400111288942,41.06,0.5819000000000001
441,4,2.117,0.747,0.066,2.15,8.0,0.0,[ 5 12  6  5],1.3084968052764419,51.99,0.8729
442,3,1.943,0.318,0.086,1.513,3.667,0.6666666666666666,[21  5  2],0.7119025417651226,46.75,0.40049999999999997
443,3,2.823,0.719,0.002,1.767,9.667,0.0,[ 6 15  7],1.0110373360577514,57.6,0.9986999999999999
444,3,1.311,0.179,0.088,1.693,2.0,0.6666666666666666,[21  6  1],0.6648642241909106,56.36,0.19569999999999999
445,4,2.117,0.605,0.063,2.012,7.25,0.5,[ 7 14  4  3],1.2104477970150358,42.64,0.7348
446,3,1.878,0.37,0.162,2.0,6.0,0.3333333333333333,[19  6  3],0.8325354285489529,51.07,0.34719999999999995
447,4,1.643,0.348,0.096,2.25,4.0,0.25,[14  6  7  1],1.1422498504120202,45.84,0.38749999999999996
448,4,2.478,0.357,0.095,2.564,4.75,0.25,[14  5  5  4],1.2398345393382686,50.98,0.4813
449,3,1.943,0.493,0.05,1.909,7.333,0.3333333333333333,[ 9 16  3],0.9239088809656754,50.23,0.6223
450,4,1.695,0.44,0.129,2.569,5.25,0.5,[ 5 16  3  4],1.1447179591576722,44.89,0.44179999999999997
451,3,1.878,0.306,0.053,1.553,6.0,0.3333333333333333,[18  7  3],0.8699223833351152,49.21,0.42489999999999994
452,4,1.197,0.206,0.132,1.97,3.5,0.75,[20  3  4  1],0.8766452322622142,40.76,0.1541
453,4,1.691,0.445,0.081,1.962,6.25,0.5,[ 9 14  4  1],1.1083830367780911,45.9,0.5088
454,4,1.804,0.472,0.185,2.542,5.25,0.25,[ 6 15  5  2],1.1606047332040657,47.76,0.4119
455,3,1.878,0.391,0.126,2.056,6.333,0.0,[18  5  5],0.8993091256583479,53.1,0.41500000000000004
456,3,2.405,0.362,0.107,2.318,5.333,0.3333333333333333,[19  6  3],0.8325354285489529,57.62,0.4634
457,3,2.823,0.39,0.055,2.23,6.667,0.0,[ 9 12  7],1.074516223144162,55.54,0.6008
458,4,2.173,0.352,0.125,2.965,4.0,0.25,[11  9  6  2],1.2504644968431944,38.2,0.40679999999999994
459,3,2.19,0.178,0.068,1.421,3.667,1.0,[23  4  1],0.558577924073418,64.77,0.3086
460,3,1.878,0.322,0.111,2.417,4.667,0.0,[12 10  6],1.060944240790747,45.81,0.3655
461,3,2.704,0.374,0.048,2.153,7.0,0.0,[ 9 12  7],1.074516223144162,48.54,0.5820000000000001
462,4,2.117,0.358,0.107,2.65,5.5,0.25,[13  6  5  4],1.2719450291388334,42.54,0.4306
463,3,2.109,0.32,0.106,2.179,4.333,0.0,[17  6  5],0.9406911806575431,49.07,0.3931
464,3,1.878,0.262,0.118,2.2,4.667,0.0,[16  5  7],0.9739909329825542,48.51,0.2964
465,4,1.197,0.228,0.212,2.579,3.75,0.75,[18  4  4  2],1.0285137640248474,42.39,0.0721
466,3,1.943,0.273,0.138,2.124,4.667,0.6666666666666666,[20  4  4],0.7963116401738131,49.64,0.2879
467,4,2.559,0.523,0.102,2.762,5.75,0.5,[ 9  4 11  4],1.2878393642549475,43.16,0.6463000000000001
468,3,1.878,0.255,0.118,2.204,5.0,0.0,[17  5  6],0.9406911806575431,49.32,0.2894
469,4,2.374,0.414,0.128,2.842,5.0,0.25,[ 8  6 11  3],1.2943911524754388,43.88,0.485
470,4,1.715,0.332,0.136,2.192,3.75,0.5,[14  9  3  2],1.1392061159693534,45.02,0.3267
471,3,2.255,0.356,0.035,1.581,6.0,0.3333333333333333,[16 11  1],0.8058378117245406,49.23,0.536
472,4,0.983,0.193,0.084,1.625,1.5,0.75,[21  5  1  1],0.7614130546622616,37.71,0.18209999999999998
473,4,1.643,0.389,0.134,2.006,4.75,0.5,[18  5  4  1],0.9886667012901671,36.87,0.3791
474,4,2.117,0.529,0.107,2.025,5.75,0.25,[10  7  7  4],1.3388555651325464,36.95,0.6016
475,3,1.878,0.328,0.108,2.356,5.0,0.0,[13  9  6],1.0511359509468368,46.41,0.3754
476,4,1.715,0.269,0.106,2.2,3.75,0.25,[14  5  7  2],1.1892881679862324,44.37,0.3027
477,4,2.117,0.476,0.13,2.626,5.25,0.5,[15  7  3  3],1.1595688747491681,41.65,0.5186999999999999
478,4,1.643,0.363,0.09,2.259,4.25,0.25,[13  8  6  1],1.163260553182097,40.92,0.4103
479,3,2.623,0.42,0.077,2.231,6.667,0.0,[ 8 14  6],1.0346012329101812,58.01,0.5822
480,3,1.943,0.44,0.098,2.135,6.333,0.0,[15  5  8],0.9999375490272633,59.82,0.5069
481,4,2.163,0.173,0.087,2.062,2.75,0.75,[18  4  4  2],1.0285137640248474,43.71,0.2762
482,4,0.983,0.203,0.086,1.559,1.75,1.0,[22  4  1  1],0.7054862452336856,48.23,0.1895
483,3,1.943,0.443,0.087,1.936,7.667,0.3333333333333333,[16  8  4],0.9556998911125343,51.68,0.5242
484,4,2.479,0.467,0.094,2.697,5.5,0.0,[10  7  5  6],1.3520270690728293,37.55,0.5927
485,3,1.943,0.494,0.143,1.927,7.667,0.3333333333333333,[10 16  2],0.8760057656431737,60.52,0.5024000000000001
486,4,2.351,0.554,0.037,1.799,7.0,0.25,[ 9 13  5  1],1.1476847814181876,40.4,0.741
487,3,2.34,0.193,0.109,2.212,4.0,0.3333333333333333,[19  6  3],0.8325354285489529,42.46,0.2853
488,4,1.86,0.569,0.097,2.776,5.75,0.25,[ 6 12  6  4],1.3013055504369102,47.64,0.6289
489,4,1.457,0.48,0.064,2.097,5.5,0.25,[ 9 13  5  1],1.1476847814181876,41.94,0.5425
490,3,2.174,0.317,0.023,1.654,5.333,0.3333333333333333,[ 7 18  3],0.8699223833351152,60.25,0.5045
491,3,1.878,0.308,0.127,2.256,4.333,0.0,[17  6  5],0.9406911806575431,51.61,0.3307
492,3,2.351,0.417,0.049,1.575,4.667,0.6666666666666666,[ 5 21  2],0.7119025417651226,68.76,0.5883999999999999
493,4,1.86,0.52,0.136,2.826,5.5,0.25,[ 5 16  5  2],1.1235583301288685,51.91,0.5292
494,4,1.804,0.381,0.156,2.767,4.5,0.25,[15  5  5  3],1.188955617072401,45.87,0.35860000000000003
495,4,2.117,0.376,0.11,2.594,5.75,0.25,[12  7  3  6],1.279110062953209,39.65,0.4447
496,3,1.943,0.319,0.123,2.216,4.667,0.3333333333333333,[19  6  3],0.8325354285489529,47.25,0.3534
497,4,1.683,0.374,0.071,1.934,4.25,0.5,[18  5  2  3],1.0194897804814294,39.39,0.45
498,3,2.537,0.477,0.032,2.141,7.667,0.0,[ 9  9 10],1.0973511772469036,44.92,0.6890999999999999
499,3,1.943,0.471,0.126,2.263,6.0,0.0,[ 7 16  5],0.9739909329825542,43.11,0.5015
