,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,4,1.855,0.278,0.14,2.661,4.25,0.5,[15  6  3  4],1.1817643622328693,56.39,0.2815
1,3,2.415,0.176,0.115,2.339,3.667,0.3333333333333333,[18  8  2],0.8304717124362917,106.14,0.26799999999999996
2,4,1.197,0.291,0.126,2.158,3.5,0.5,[18  5  4  1],0.9886667012901671,112.49,0.24689999999999998
3,3,1.878,0.369,0.131,2.046,5.667,0.3333333333333333,[19  4  5],0.8487506669319027,105.35,0.38649999999999995
4,3,2.823,0.429,-0.024,1.792,7.0,0.3333333333333333,[19  3  6],0.8325354285489529,106.46,0.7424999999999999
5,3,1.878,0.179,0.188,1.926,4.667,0.3333333333333333,[19  7  2],0.7982042955798663,99.91,0.12239999999999998
6,3,1.878,0.394,0.096,2.043,6.333,0.0,[17  5  6],0.9406911806575431,99.54,0.45699999999999996
7,3,1.943,0.47,0.056,2.361,7.0,0.0,[15  7  6],1.0110373360577514,91.86,0.5915
8,4,1.426,0.364,0.119,1.881,4.5,0.5,[20  5  2  1],0.8554856032334106,90.56,0.3519
9,3,2.351,0.237,0.036,1.5,5.333,0.3333333333333333,[ 9 17  2],0.8562779956715776,113.83,0.4253
10,3,2.675,0.407,0.063,2.286,6.667,0.0,[10  6 12],1.060944240790747,97.72,0.5925999999999999
11,3,1.461,0.256,0.184,2.247,3.667,0.3333333333333333,[20  5  3],0.787287656630395,94.05,0.16290000000000002
12,3,2.823,0.297,0.081,2.312,5.333,0.3333333333333333,[19  4  5],0.8487506669319027,85.23,0.474
13,4,1.929,0.197,0.067,2.088,3.25,0.75,[19  4  3  2],0.9689313217549842,84.87,0.3028
14,4,1.691,0.532,0.076,2.169,5.25,0.25,[ 9 12  6  1],1.1770453027162642,79.38,0.6023000000000001
15,4,2.242,0.259,0.109,2.579,4.5,0.25,[14  4  5  5],1.2398345393382686,76.97,0.3415
16,3,1.943,0.424,0.105,2.163,6.333,0.0,[16  7  5],0.9739909329825542,88.44,0.4818
17,4,1.457,0.47,0.051,1.252,6.25,0.5,[15  9  3  1],1.0575041145122233,77.13,0.5493999999999999
18,3,2.823,0.292,0.077,2.306,5.0,0.0,[16  6  6],0.9799711820833054,91.01,0.47419999999999995
19,3,2.255,0.191,0.051,1.673,4.0,0.3333333333333333,[15 12  1],0.8165033382470198,94.53,0.35019999999999996
20,4,1.457,0.1,0.128,2.186,2.0,0.75,[20  4  2  2],0.8953326659680909,97.03,0.07929999999999998
21,4,1.804,0.416,0.173,2.304,6.5,0.5,[ 7 16  3  2],1.0941715878056357,96.2,0.3715
22,3,1.878,0.275,0.137,1.567,6.667,0.6666666666666666,[21  5  2],0.7119025417651226,106.59,0.2847
23,3,2.717,0.313,0.071,2.325,6.0,0.0,[ 9  9 10],1.0973511772469036,91.44,0.4924
24,4,1.763,0.449,0.075,2.118,5.75,0.25,[ 7 13  6  2],1.221398657786797,80.47,0.5278
25,3,1.943,0.263,0.169,1.848,5.667,0.3333333333333333,[20  6  2],0.7589367727620595,110.34,0.23759999999999998
26,4,2.565,0.426,0.094,2.417,5.5,0.5,[ 7 15  3  3],1.1595688747491681,77.75,0.5603
