,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,2.807,0.314,0.11,1.99,16.333,1.0,[49 23  2],0.7337697427323989,869.66,0.4847
1,3,1.835,0.008,0.191,2.792,1.0,1.0,[68  3  3],0.33760296233952225,673.16,0.0005000000000000004
2,5,1.954,0.108,0.104,2.9,2.6,0.6,[60  5  3  5  1],0.7222963131545567,398.37,0.1994
3,5,2.016,0.131,0.175,3.494,3.8,0.8,[59  4  6  3  2],0.7695708408067433,382.37,0.15760000000000002
4,4,2.328,0.042,0.127,2.616,2.75,0.75,[64  2  5  3],0.5351753888215518,453.9,0.1478
5,5,2.144,0.251,0.061,2.187,8.4,1.0,[28 37  3  3  3],1.1041569898155887,272.34,0.4044
6,5,2.085,0.056,0.156,3.951,2.0,0.6,[57  5  4  5  3],0.8528581242664095,254.98,0.10849999999999999
7,4,2.083,0.039,0.174,3.653,2.5,0.75,[60  7  4  3],0.6807805109447491,301.92,0.07330000000000003
8,5,2.115,0.355,0.094,3.464,9.4,0.8,[28 35  4  6  1],1.1414347864895333,304.89,0.47250000000000003
9,5,2.425,0.2,0.212,2.982,5.4,0.6,[58  3  5  3  5],0.8149874247171158,257.79,0.2305
10,5,1.74,0.027,0.155,4.486,1.4,0.8,[55  4  4  7  4],0.9167647071959024,463.12,0.045999999999999985
11,5,2.363,0.316,0.052,2.001,8.4,1.0,[22 46  4  1  1],0.9302054221655093,487.35,0.5003
12,3,2.193,0.011,0.11,2.396,1.333,1.0,[66  4  4],0.417476338302775,293.38,0.12029999999999999
13,4,1.923,0.022,0.192,3.791,1.0,0.75,[62  3  5  4],0.6179767723197094,356.12,0.022299999999999986
14,3,3.177,0.33,0.105,2.164,12.667,1.0,[28 44  2],0.7744385453875603,331.12,0.5427
15,3,3.129,0.271,0.101,2.485,12.0,0.6666666666666666,[44 25  5],0.8578025381193182,397.23,0.4829
16,3,2.193,0.038,0.157,2.2,2.667,1.0,[68  2  4],0.3330110964801871,489.33,0.1003
17,5,2.144,0.05,0.166,4.492,2.0,0.6,[54  7  4  5  4],0.9504967957854178,345.94,0.0984
18,3,2.049,0.0,0.094,2.0,0.0,1.0,[68  4  2],0.3330110964801871,451.95,0.1109
19,5,2.361,0.207,0.043,1.976,6.2,1.0,[29 37  3  3  2],1.0711798238721078,188.31,0.4001
20,3,2.808,0.354,0.111,2.216,15.333,1.0,[50 22  2],0.7231140309553841,664.09,0.5238
21,5,2.528,0.184,0.174,3.659,6.6,1.0,[24  4 41  3  2],1.0776183994902362,408.96,0.26280000000000003
22,5,1.657,0.026,0.093,2.246,1.2,0.8,[55 12  4  2  1],0.8290154068414488,252.92,0.09870000000000001
23,5,1.944,0.048,0.176,4.551,1.4,0.6,[58  5  4  2  5],0.8103955588577808,334.39,0.06639999999999999
24,3,3.043,0.149,0.09,1.782,6.667,0.6666666666666666,[66  5  3],0.4140618580431033,527.68,0.3633
25,5,1.533,0.021,0.166,3.983,0.8,0.8,[61  3  6  3  1],0.681017305880535,680.2,0.008299999999999974
26,3,2.197,0.044,0.088,2.309,1.333,0.6666666666666666,[65  3  6],0.44755744152053367,639.57,0.17570000000000002
27,5,2.327,0.28,0.134,4.192,7.8,0.6,[50 10  4  4  6],1.054498702586937,674.66,0.37870000000000004
28,5,2.07,0.272,0.173,4.01,6.8,0.6,[ 9 53  3  7  2],0.945903000166334,405.55,0.30600000000000005
29,3,2.049,0.0,0.052,2.0,0.0,0.6666666666666666,[65  7  2],0.4345672830997982,523.45,0.1529
30,5,2.758,0.475,0.146,3.51,11.2,0.6,[19 40  7  4  4],1.2201293540005733,466.73,0.6048
31,3,2.494,0.002,0.093,1.996,0.333,0.6666666666666666,[65  4  5],0.453692937124893,542.96,0.1584
32,3,2.508,0.0,0.065,2.0,0.0,0.6666666666666666,[65  5  4],0.453692937124893,569.69,0.18580000000000002
33,3,2.407,0.004,0.13,2.992,0.667,0.6666666666666666,[62  8  4],0.5464564222485762,485.52,0.1147
34,4,1.913,0.032,0.152,3.697,1.75,0.5,[58  6  6  4],0.7560652866243246,506.24,0.0713
35,3,3.15,0.3,0.071,2.506,13.333,0.6666666666666666,[22 47  5],0.8309967037930048,530.65,0.544
36,3,2.894,0.065,0.135,2.342,3.333,0.6666666666666666,[65  4  5],0.453692937124893,579.49,0.21939999999999998
37,3,2.189,0.004,0.123,2.818,0.667,0.3333333333333333,[63  6  5],0.5227781453635564,463.94,0.09990000000000002
38,5,2.0,0.426,0.145,3.069,10.4,0.8,[16 49  4  3  2],0.9893634332736158,432.49,0.48100000000000004
39,4,2.544,0.082,0.208,2.896,2.25,1.0,[65  2  3  4],0.4991666984093023,397.36,0.12840000000000001
40,3,2.201,0.043,0.194,2.621,2.333,0.6666666666666666,[66  5  3],0.4140618580431033,325.89,0.0691
41,3,1.839,0.011,0.14,2.3,1.333,0.6666666666666666,[67  5  2],0.369634155062479,381.49,0.054900000000000004
42,3,2.738,0.052,0.162,2.067,3.0,1.0,[68  2  4],0.3330110964801871,475.42,0.16379999999999997
43,3,2.054,0.002,0.056,1.996,0.333,0.6666666666666666,[66  6  2],0.4033344965794089,490.84,0.15139999999999998
44,4,1.923,0.072,0.174,3.577,2.5,0.75,[62  6  2  4],0.6072494108560149,321.53,0.0903
45,4,1.638,0.004,0.167,3.662,0.5,0.75,[62  4  6  2],0.6072494108560149,339.25,0.0007999999999999952
46,5,1.459,0.071,0.235,3.954,1.4,1.0,[64  2  3  2  3],0.580649150105961,212.7,-0.018099999999999977
47,5,1.985,0.113,0.164,3.506,3.4,0.8,[60  5  4  3  2],0.7373735801352465,442.03,0.14750000000000002
48,5,2.539,0.311,0.096,2.396,9.2,1.0,[26 39  4  3  2],1.0903255951066222,325.31,0.4689
49,5,1.954,0.079,0.113,2.196,1.6,1.0,[66  3  3  1  1],0.47826932691021373,437.29,0.1614
50,4,2.372,0.333,0.156,3.132,9.5,1.0,[21 47  4  2],0.9010464407965469,281.71,0.4142
51,5,2.582,0.338,0.176,2.85,10.2,0.8,[17 47  3  3  4],1.0438162377201612,266.51,0.4202
52,3,2.285,0.014,0.12,1.996,0.333,1.0,[68  3  3],0.33760296233952225,468.92,0.12250000000000001
53,5,2.155,0.188,0.227,2.833,6.0,0.8,[59  6  4  3  2],0.7695708408067433,286.19,0.17649999999999996
54,4,2.449,0.072,0.174,2.849,2.5,1.0,[65  3  2  4],0.49916669840930217,346.96,0.14289999999999997
55,3,2.301,0.051,0.116,1.75,2.667,1.0,[69  3  2],0.29277482233477625,615.79,0.16510000000000002
56,3,2.189,0.006,0.112,2.794,1.0,0.3333333333333333,[63  6  5],0.5227781453635564,449.57,0.11290000000000001
57,3,3.147,0.199,0.169,2.657,9.667,1.0,[21 50  3],0.752281872533852,400.33,0.3447
58,5,2.595,0.298,0.193,3.609,7.8,0.8,[18 47  4  3  2],1.0174308013919064,433.55,0.3645
59,5,2.255,0.28,0.148,4.114,7.4,0.6,[53  9  3  6  3],0.9588931585870695,365.26,0.35750000000000004
60,5,2.491,0.11,0.188,3.534,3.2,0.8,[59  2  3  6  4],0.7695708408067433,419.08,0.17110000000000003
61,3,2.009,0.039,0.103,1.786,2.333,1.0,[68  4  2],0.3330110964801871,503.62,0.1369
62,4,2.449,0.089,0.179,2.658,3.5,1.0,[64  3  3  4],0.5431817349405587,239.81,0.15489999999999998
63,4,1.916,0.018,0.175,3.9,0.75,0.5,[60  3  6  5],0.6857643232464778,253.64,0.03459999999999999
64,5,1.667,0.024,0.096,3.654,1.0,0.6,[59  5  5  4  1],0.7606290694304129,403.37,0.0947
65,3,2.965,0.178,0.143,2.489,9.0,1.0,[27 44  3],0.8069329831970791,295.55,0.3315
66,5,2.076,0.204,0.155,4.063,6.4,0.8,[22 41  5  3  3],1.1297643904617545,231.4,0.2566
67,3,3.012,0.209,0.161,2.462,10.667,0.6666666666666666,[20 51  3],0.740097666095727,309.14,0.3492
68,5,2.247,0.092,0.206,4.058,2.0,1.0,[59  4  4  3  4],0.7837126825301095,273.61,0.11069999999999999
69,4,2.436,0.079,0.155,3.35,3.0,0.5,[60  5  4  5],0.6918998188508372,268.91,0.16759999999999997
70,5,2.103,0.212,0.172,3.714,6.8,0.8,[23 40  5  4  2],1.13311635673528,296.36,0.2503
71,4,1.553,0.042,0.186,3.372,1.0,0.75,[63  3  6  2],0.5682519066479657,286.92,0.011300000000000004
72,4,1.913,0.011,0.162,3.741,1.0,0.75,[61  4  5  4],0.656756307181175,305.57,0.0403
