,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,2.532,0.112,0.216,1.75,4.667,1.0,[69  2  3],0.29277482233477625,607.65,0.1492
1,5,3.027,0.165,0.172,2.74,4.6,0.6,[55  2 10  5  2],0.8682684120942151,726.0,0.2957000000000001
2,4,1.547,0.04,0.201,3.372,1.0,0.75,[64  3  2  5],0.5351753888215518,369.17,-0.0063
3,5,2.882,0.393,0.122,2.829,10.0,0.8,[41 21  3  5  4],1.1543403661808873,547.51,0.5592
4,3,2.49,0.0,0.095,2.0,0.0,0.6666666666666666,[65  4  5],0.453692937124893,623.71,0.15400000000000003
5,3,2.197,0.014,0.086,2.282,2.0,1.0,[66  4  4],0.417476338302775,642.56,0.1477
6,3,2.83,0.067,0.127,2.309,3.333,0.6666666666666666,[65  4  5],0.453692937124893,455.04,0.22300000000000003
7,5,2.034,0.068,0.077,2.291,2.0,0.8,[65  1  5  2  1],0.5098940598729967,815.82,0.19439999999999996
8,3,3.105,0.203,0.033,1.663,9.333,1.0,[30 42  2],0.7850875286246289,817.14,0.48050000000000004
9,3,3.149,0.302,0.105,2.171,14.333,1.0,[24 47  3],0.7834425786808215,564.3,0.5119
10,5,2.283,0.209,0.139,4.28,5.6,0.6,[30 29  6  4  5],1.2766269264272672,358.45,0.2983
11,3,2.185,0.002,0.16,2.909,0.333,0.6666666666666666,[65  4  5],0.453692937124893,673.2,0.0605
12,4,1.645,0.046,0.061,2.285,1.25,0.75,[64  3  6  1],0.5173771064961744,768.0,0.14950000000000002
13,4,1.645,0.04,0.149,3.067,2.25,0.5,[61  5  6  2],0.6426144654578089,414.52,0.05550000000000002
14,3,3.165,0.166,0.163,2.657,7.333,0.6666666666666666,[62  9  3],0.5344273913821971,497.09,0.3195
15,4,2.442,0.105,0.174,2.961,3.25,0.75,[63  5  2  4],0.574387402252325,628.89,0.17520000000000002
16,3,2.205,0.06,0.184,2.033,3.0,1.0,[68  4  2],0.3330110964801871,900.21,0.0965
17,3,2.773,0.249,0.045,1.614,12.667,1.0,[22 51  1],0.6753348061389866,745.61,0.4813
18,4,1.642,0.006,0.166,3.572,0.75,0.75,[63  4  2  5],0.574387402252325,462.64,0.0041999999999999815
19,4,2.247,0.025,0.06,2.146,1.5,0.75,[62  4  6  2],0.6072494108560149,892.42,0.18969999999999998
20,4,1.642,0.006,0.166,3.572,0.75,0.75,[62  6  2  4],0.6072494108560149,472.53,0.0041999999999999815
21,4,2.926,0.097,0.181,3.289,3.75,0.75,[59  4  7  4],0.7191132672206053,470.73,0.20860000000000004
22,4,2.086,0.035,0.114,2.25,1.0,1.0,[64  2  4  4],0.5385898690812235,545.04,0.1296
23,5,2.166,0.084,0.152,4.104,2.0,0.4,[53  7  2  7  5],0.9648529657943422,547.19,0.1486
24,4,2.442,0.065,0.173,3.438,3.0,0.75,[62  4  5  3],0.6179767723197094,573.55,0.13620000000000004
25,4,1.818,0.042,0.198,3.546,1.0,1.0,[63  4  3  4],0.5823937483713318,385.17,0.025800000000000017
26,4,2.053,0.123,0.1,3.114,4.25,0.5,[53 12  6  3],0.8677036756759113,526.72,0.22829999999999998
27,5,2.896,0.329,0.168,2.823,8.6,1.0,[28 37  2  3  4],1.0995651239562534,388.95,0.4506
28,4,2.103,0.018,0.107,2.881,0.75,0.75,[60  3  8  3],0.6704450959234483,716.02,0.12130000000000002
29,3,1.831,0.004,0.137,2.576,0.667,0.6666666666666666,[66  6  2],0.4033344965794089,614.18,0.05009999999999998
30,3,2.956,0.067,0.084,2.593,4.0,0.3333333333333333,[55 14  5],0.7176148585478181,479.11,0.27859999999999996
31,4,2.04,0.002,0.12,3.996,0.25,0.25,[57  5  7  5],0.7882587089569054,806.21,0.08600000000000002
32,5,2.171,0.088,0.173,4.043,2.4,0.8,[57  7  2  4  4],0.8371469505009863,320.12,0.1321
33,5,2.307,0.072,0.2,3.148,2.2,1.0,[62  2  2  4  4],0.6588586677447835,475.28,0.10269999999999999
34,5,2.163,0.081,0.121,2.2,2.8,1.0,[66  2  2  2  2],0.4924111686335798,389.61,0.1763
35,5,1.755,0.051,0.207,4.25,2.2,0.6,[58  3  3  5  5],0.8149874247171159,329.33,0.01949999999999999
36,5,1.949,0.061,0.169,4.259,2.2,0.8,[58  6  4  2  4],0.8076745435130931,463.94,0.0869
37,3,2.472,0.06,0.128,2.3,3.0,0.6666666666666666,[66  5  3],0.4140618580431033,401.25,0.1792
38,3,1.927,0.01,0.124,2.496,1.333,0.6666666666666666,[65  7  2],0.4345672830997982,574.42,0.0787
39,4,2.459,0.068,0.131,3.7,2.75,0.5,[54 10  4  6],0.8618120701736405,489.82,0.1829
40,3,2.066,0.041,0.226,2.788,1.333,1.0,[68  3  3],0.33760296233952225,502.45,0.02159999999999998
41,3,2.197,0.034,0.162,2.35,2.667,0.6666666666666666,[66  3  5],0.41406185804310336,496.89,0.0917
42,4,3.141,0.276,0.158,2.846,9.0,0.75,[23 42  4  5],1.0244589048133321,362.34,0.43210000000000004
43,5,2.207,0.301,0.122,2.915,8.8,0.8,[47 20  2  2  3],0.9670379534785389,821.05,0.39969999999999994
44,5,1.52,0.002,0.085,2.909,0.2,0.8,[62  4  6  1  1],0.6259831184387162,518.47,0.06899999999999999
45,5,1.363,0.0,0.057,2.0,0.0,1.0,[66  4  1  2  1],0.47367746105087866,675.26,0.07930000000000001
46,5,2.69,0.346,0.149,3.281,9.2,0.8,[23  3 39  4  5],1.170504619716588,576.36,0.46599999999999997
47,5,1.232,0.008,0.052,2.4,0.6,0.8,[62  7  3  1  1],0.6175848258773158,551.56,0.0792
48,4,3.027,0.273,0.068,2.82,9.0,0.75,[27 39  3  5],1.0174498768616302,573.65,0.5077
49,4,2.086,0.027,0.154,3.412,1.75,0.75,[61  5  4  4],0.656756307181175,422.55,0.08159999999999998
50,5,2.171,0.066,0.202,4.557,2.0,0.6,[58  5  3  3  5],0.814987424717116,449.15,0.08109999999999998
51,4,1.913,0.032,0.157,3.59,1.75,0.5,[59  6  4  5],0.724097079522334,443.33,0.0663
52,4,2.619,0.111,0.077,2.69,4.25,0.5,[55  7  8  4],0.8418298768650976,461.04,0.29590000000000005
53,5,1.528,0.01,0.2,4.567,0.8,0.8,[59  4  6  2  3],0.7695708408067432,369.58,-0.03720000000000001
54,4,3.134,0.243,0.137,2.656,8.0,0.75,[23  5 44  2],0.9519813799330301,614.87,0.4194
55,5,1.695,0.052,0.196,3.607,1.8,1.0,[63  3  4  2  2],0.6198611635367341,313.77,0.025499999999999995
56,4,2.749,0.322,0.15,2.746,10.5,1.0,[49  2 21  2],0.8255954375034621,596.87,0.4469000000000001
57,4,1.923,0.024,0.166,3.325,1.5,1.0,[63  3  4  4],0.5823937483713317,541.68,0.050299999999999984
58,4,2.445,0.106,0.185,2.699,4.5,0.75,[62  3  5  4],0.6179767723197094,394.4,0.16549999999999998
59,4,2.128,0.095,0.188,2.621,4.0,1.0,[65  3  3  3],0.5037585642686373,801.33,0.11980000000000002
60,5,2.283,0.319,0.189,4.244,8.0,0.8,[16 48  3  4  3],1.0295256438000686,472.44,0.3583
61,4,2.453,0.134,0.165,3.478,3.5,0.5,[57  9  3  5],0.7693087433288972,513.71,0.2143
62,5,2.034,0.116,0.051,2.41,4.0,0.8,[34 33  5  1  1],1.015846215805334,487.79,0.26839999999999997
63,4,2.825,0.166,0.193,2.431,5.25,1.0,[64  3  4  3],0.5431817349405585,637.21,0.25550000000000006
64,4,2.571,0.18,0.138,2.909,6.75,1.0,[26 42  2  4],0.9442798802033662,449.33,0.2991
65,5,1.224,0.0,0.032,2.0,0.0,0.8,[64  7  1  1  1],0.52312065565814,606.36,0.0904
66,3,2.054,0.002,0.093,1.996,0.333,1.0,[68  4  2],0.3330110964801871,491.27,0.11439999999999997
67,4,2.929,0.108,0.124,3.194,4.25,0.25,[56  6  7  5],0.8197568215542457,451.98,0.2769
68,4,1.919,0.04,0.135,3.143,2.5,0.5,[60  4  5  5],0.6918998188508372,359.33,0.09690000000000001
69,3,1.827,0.002,0.166,2.8,0.333,1.0,[67  4  3],0.37764050118148573,643.33,0.018699999999999994
70,4,2.449,0.104,0.156,2.162,3.75,1.0,[65  3  2  4],0.49916669840930217,328.02,0.19289999999999996
71,4,2.272,0.086,0.203,2.525,3.5,0.75,[64  5  3  2],0.5351753888215519,511.57,0.11019999999999996
72,5,2.174,0.068,0.169,4.155,1.8,0.8,[57  2  4  7  4],0.8371469505009864,386.64,0.11639999999999998
73,3,3.115,0.279,0.162,2.661,12.333,0.6666666666666666,[17 54  3],0.6977731711848343,426.43,0.4285
74,4,1.635,0.002,0.16,3.8,0.25,1.0,[63  4  3  4],0.5823937483713318,492.86,0.005500000000000005
75,3,2.189,0.03,0.168,2.625,2.0,0.6666666666666666,[65  5  4],0.453692937124893,643.18,0.0809
76,3,2.424,0.032,0.111,2.892,1.667,0.3333333333333333,[63  6  5],0.5227781453635564,627.12,0.1634
77,5,1.308,0.004,0.084,2.905,0.4,0.8,[62  6  4  1  1],0.6259831184387162,465.74,0.0508
78,3,2.886,0.053,0.189,2.567,2.333,1.0,[66  4  4],0.417476338302775,546.43,0.1526
79,3,2.058,0.036,0.202,2.796,0.667,1.0,[67  4  3],0.37764050118148573,490.37,0.039799999999999974
80,5,1.664,0.037,0.149,4.025,1.8,0.6,[55  5  4  7  3],0.9133502269362308,450.97,0.054400000000000004
81,4,2.564,0.062,0.083,1.4,2.5,1.0,[67  3  3  1],0.4080369954852051,612.94,0.2354
82,4,2.855,0.289,0.053,2.675,9.5,0.75,[33 28  3 10],1.1282790984846516,421.52,0.5215
83,5,1.316,0.045,0.191,3.537,2.2,0.8,[61  4  2  2  5],0.6942237223465774,317.66,-0.014400000000000024
84,3,2.193,0.028,0.13,2.5,0.667,0.6666666666666666,[65  2  7],0.4345672830997982,595.71,0.11729999999999999
85,5,2.357,0.157,0.148,3.279,4.4,0.4,[56  2  5  5  6],0.876349890744743,280.73,0.24470000000000003
86,5,1.452,0.016,0.101,2.992,0.4,0.8,[63  3  6  1  1],0.586985614230667,436.18,0.06019999999999999
87,4,3.141,0.353,0.175,3.164,11.5,0.5,[18 48  5  3],0.936668247340865,476.49,0.4921
88,5,2.779,0.202,0.194,3.803,5.4,0.8,[29  7 32  3  3],1.2126032994934286,327.9,0.2859
89,4,1.916,0.041,0.169,3.701,1.5,0.5,[58  6  3  7],0.7476669940629243,334.22,0.06359999999999999
90,3,2.189,0.004,0.139,2.905,0.667,0.6666666666666666,[64  6  4],0.4869806121924549,709.24,0.0839
