,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,2.809,0.288,0.125,2.291,12.667,1.0,[22 50  2],0.7231140309553841,320.09,0.4439
1,5,1.875,0.184,0.089,2.52,6.2,1.0,[29 40  3  1  1],0.9459219296883654,219.4,0.2825
2,3,2.201,0.012,0.178,2.742,1.333,1.0,[67  4  3],0.37764050118148573,292.54,0.05410000000000004
3,3,3.034,0.08,0.19,1.9,2.667,1.0,[69  2  3],0.29277482233477625,471.18,0.19340000000000002
4,4,1.926,0.051,0.161,2.954,2.75,1.0,[62  5  3  4],0.6179767723197094,254.67,0.08259999999999998
5,5,3.064,0.231,0.182,2.281,7.0,0.8,[56  2 11  3  2],0.8194033598231624,228.14,0.35540000000000005
6,5,1.321,0.02,0.088,2.567,0.8,1.0,[64  3  5  1  1],0.553909096404253,255.2,0.0641
7,4,2.607,0.212,0.126,3.606,6.75,0.75,[26 37  4  7],1.0948621034168509,202.22,0.3467
8,3,3.676,0.205,0.074,1.803,12.667,1.0,[27 45  2],0.7679339880298296,250.36,0.49860000000000004
9,5,2.669,0.352,0.134,2.502,9.2,1.0,[20 47  3  2  2],0.9670379534785389,338.67,0.4849
10,5,3.222,0.489,0.153,3.052,10.8,0.6,[44 19  6  2  3],1.0894519507844616,168.87,0.6581999999999999
11,4,2.544,0.081,0.186,3.191,2.25,1.0,[64  3  3  4],0.5431817349405587,311.25,0.14940000000000003
12,5,2.313,0.16,0.094,3.248,5.4,0.8,[34 29  3  6  2],1.1556796209197133,134.47,0.2973
13,3,2.899,0.097,0.168,2.277,4.0,1.0,[67  4  3],0.37764050118148573,299.15,0.21889999999999998
14,4,1.923,0.055,0.23,3.448,2.5,1.0,[64  4  3  3],0.5431817349405587,325.93,0.017299999999999982
15,4,2.376,0.109,0.105,3.039,3.75,0.5,[55  6 11  2],0.8051863855682753,223.22,0.24159999999999998
16,3,2.351,0.006,0.048,1.849,1.0,1.0,[66  5  3],0.4140618580431033,386.81,0.1931
17,3,3.139,0.28,0.084,2.514,13.0,0.6666666666666666,[24 44  6],0.8780084359592709,329.36,0.5099
18,4,2.698,0.033,0.081,1.996,1.75,1.0,[63  2  4  5],0.574387402252325,319.58,0.2218
19,5,3.08,0.368,0.183,3.385,9.0,1.0,[43 23  2  3  3],1.0361469846322484,313.24,0.493
20,4,2.716,0.336,0.098,2.618,10.0,1.0,[20 48  4  2],0.8896898796871692,328.6,0.5096
21,4,1.916,0.014,0.171,3.654,1.25,1.0,[62  4  5  3],0.6179767723197094,265.23,0.03459999999999999
22,4,2.449,0.119,0.114,2.07,4.25,1.0,[63  5  4  2],0.574387402252325,380.81,0.24989999999999996
23,5,2.166,0.119,0.139,3.861,2.8,0.8,[55  5  3  7  4],0.9133502269362307,209.42,0.19659999999999997
24,5,1.987,0.113,0.113,3.112,4.2,1.0,[35 30  4  4  1],1.093748086569666,275.6,0.19870000000000002
25,3,2.201,0.034,0.158,2.292,1.667,1.0,[69  2  3],0.29277482233477625,385.54,0.09610000000000002
26,3,2.463,0.014,0.12,1.996,0.333,1.0,[67  3  4],0.37764050118148573,288.69,0.14030000000000004
27,4,2.523,0.179,0.127,2.639,7.0,1.0,[26 41  4  3],0.9823356467998583,234.95,0.3043
28,3,2.205,0.052,0.101,1.944,2.667,1.0,[68  2  4],0.3330110964801871,340.87,0.17149999999999999
29,4,2.378,0.333,0.094,2.614,9.75,1.0,[22 49  2  1],0.7893566750633111,274.04,0.4768
30,3,2.189,0.004,0.145,2.885,0.667,1.0,[65  5  4],0.453692937124893,262.59,0.07790000000000002
31,3,3.19,0.339,0.109,2.543,14.0,1.0,[27 43  4],0.8410329607525531,345.14,0.549
32,5,1.452,0.043,0.232,4.587,1.0,1.0,[61  4  3  3  3],0.7068219343249194,195.65,-0.043800000000000006
33,5,1.97,0.04,0.2,3.986,2.0,1.0,[58  3  4  5  4],0.8184019049767876,245.19,0.037000000000000005
34,5,1.891,0.067,0.25,4.449,1.6,0.8,[58  3  3  7  3],0.8038681168110278,234.59,0.006099999999999994
35,3,2.193,0.03,0.137,2.615,2.0,0.6666666666666666,[63  6  5],0.5227781453635564,384.0,0.11229999999999998
36,5,1.525,0.006,0.178,4.465,0.6,1.0,[58  4  5  2  5],0.8103955588577808,189.1,-0.01949999999999999
37,4,2.083,0.054,0.072,2.686,2.0,0.75,[59  3  7  5],0.7156987869609337,257.93,0.19030000000000002
38,5,1.834,0.068,0.107,3.246,2.2,0.8,[59  6  4  4  1],0.7579080540857251,240.36,0.14440000000000003
39,4,1.37,0.004,0.187,3.467,0.5,1.0,[65  4  3  2],0.4991666984093023,223.75,-0.045999999999999985
40,3,2.577,0.011,0.018,1.567,1.333,0.6666666666666666,[62  9  3],0.5344273913821971,382.14,0.2507
41,3,1.835,0.008,0.191,2.792,1.0,1.0,[68  3  3],0.33760296233952225,307.62,0.0005000000000000004
42,5,1.979,0.006,0.101,3.794,0.6,0.8,[52  4  5 10  3],0.988136334165939,301.32,0.10290000000000002
43,4,1.651,0.036,0.155,3.173,2.0,0.75,[61  6  5  2],0.6426144654578088,268.46,0.0461
44,3,2.193,0.014,0.162,2.996,0.333,0.6666666666666666,[64  3  7],0.4785823196310546,219.24,0.0713
45,3,2.354,0.0,0.032,2.0,0.0,0.6666666666666666,[62 10  2],0.5163018882871965,327.83,0.2034
46,4,1.812,0.038,0.187,3.705,0.75,0.75,[61  4  3  6],0.6506208115768156,237.11,0.032200000000000006
47,4,2.728,0.168,0.115,3.118,5.75,1.0,[30 36  5  3],1.028583611279042,214.49,0.32580000000000003
48,3,2.185,0.002,0.155,2.996,0.333,1.0,[66  4  4],0.417476338302775,373.2,0.0655
49,4,2.393,0.042,0.141,3.728,1.75,0.5,[56  7  4  7],0.8147730092525169,265.08,0.1403
50,4,2.387,0.064,0.137,3.579,2.25,0.5,[58  6  4  6],0.7560652866243246,293.59,0.1657
51,3,3.12,0.126,0.079,2.457,5.333,0.6666666666666666,[54 15  5],0.7355099432964066,240.76,0.359
52,3,2.197,0.016,0.202,2.992,0.667,1.0,[67  3  4],0.37764050118148573,324.76,0.03370000000000001
53,5,2.337,0.358,0.113,3.709,9.0,0.8,[23 35  6  5  5],1.2851666464716123,255.46,0.4787
54,5,2.251,0.113,0.155,4.289,3.8,0.6,[29 30  6  3  6],1.2704914308229076,166.77,0.18309999999999998
55,4,1.936,0.014,0.115,2.996,0.25,0.75,[61  3  8  2],0.6272952381347793,246.78,0.09259999999999999
56,3,2.876,0.004,0.063,2.943,0.667,0.3333333333333333,[51 17  6],0.798142242754648,447.23,0.22859999999999997
57,5,2.161,0.057,0.194,4.471,1.8,1.0,[57  4  4  4  5],0.8562726045260812,275.54,0.0791
58,4,2.478,0.104,0.15,3.385,4.0,0.5,[58  7  3  6],0.7476669940629243,280.91,0.20180000000000003
59,4,1.926,0.085,0.118,2.947,2.0,1.0,[62  3  4  5],0.6179767723197094,285.92,0.15960000000000002
60,4,2.073,0.03,0.146,3.662,1.5,0.5,[58  6  4  6],0.7560652866243246,283.8,0.09129999999999999
61,4,2.867,0.329,0.122,2.585,8.75,1.0,[31 35  3  5],1.0306352024022258,236.81,0.4937
62,5,2.174,0.096,0.085,3.16,4.2,0.6,[53  7  4  6  4],0.9812576044747494,189.86,0.2284
63,4,2.093,0.084,0.117,2.269,2.25,1.0,[65  3  4  2],0.49916669840930217,287.82,0.17629999999999998
64,3,2.886,0.06,0.11,2.627,2.667,0.3333333333333333,[61  6  7],0.5860213962673115,276.53,0.23860000000000003
65,3,2.185,0.002,0.147,2.889,0.333,1.0,[65  4  5],0.453692937124893,280.04,0.07350000000000001
66,5,1.533,0.045,0.193,4.287,1.6,0.8,[57  5  3  7  2],0.8337324702413147,185.55,0.005299999999999971
67,3,2.185,0.002,0.16,2.909,0.333,1.0,[65  4  5],0.453692937124893,257.35,0.0605
68,4,2.626,0.332,0.156,3.361,10.0,0.75,[20 45  6  3],0.9897292662836716,250.3,0.4386
69,5,1.528,0.016,0.138,3.905,0.4,0.8,[58  3  7  5  1],0.784198983971003,281.01,0.03079999999999998
70,5,1.896,0.382,0.066,2.563,8.0,1.0,[32 36  4  1  1],0.9871001186299702,280.39,0.5056
71,4,2.138,0.002,0.098,2.996,0.25,0.75,[59  4  7  4],0.7191132672206053,372.98,0.11779999999999999
72,3,2.066,0.058,0.134,2.364,2.667,0.6666666666666666,[65  7  2],0.4345672830997982,243.76,0.13059999999999997
73,4,1.907,0.004,0.156,3.905,0.5,0.75,[59  4  6  5],0.724097079522334,339.21,0.03870000000000001
74,4,2.135,0.0,0.071,2.0,0.0,1.0,[64  4  3  3],0.5431817349405587,314.67,0.14249999999999996
75,3,2.185,0.002,0.147,2.889,0.333,1.0,[65  4  5],0.453692937124893,255.74,0.07350000000000001
76,5,2.007,0.194,0.145,3.443,5.6,1.0,[27 37  3  5  2],1.1240532156467655,218.07,0.24970000000000003
77,4,2.2,0.043,0.237,3.543,1.75,1.0,[63  3  3  5],0.5789792681116601,258.43,0.026000000000000023
78,3,2.185,0.002,0.16,2.909,0.333,1.0,[65  4  5],0.453692937124893,338.69,0.0605
79,4,2.576,0.16,0.125,3.188,4.5,0.75,[60  5  2  7],0.6727741648257424,250.67,0.29259999999999997
80,4,1.815,0.008,0.09,2.663,0.75,1.0,[63  4  5  2],0.574387402252325,340.31,0.0995
81,4,2.439,0.086,0.147,3.177,3.5,0.5,[58  6  4  6],0.7560652866243246,316.6,0.1829
82,3,2.189,0.004,0.146,2.885,0.667,1.0,[65  4  5],0.453692937124893,228.48,0.07690000000000002
83,5,1.85,0.07,0.151,4.528,1.8,0.4,[51  6  7  6  4],1.0447303717508722,236.76,0.10400000000000001
84,4,2.292,0.17,0.144,3.134,5.25,1.0,[30 37  5  2],0.9922628210286107,258.8,0.2552
85,3,2.193,0.004,0.14,2.909,0.333,0.6666666666666666,[64  4  6],0.48698061219245503,307.34,0.08329999999999999
86,3,2.185,0.002,0.118,2.909,0.333,0.6666666666666666,[62  7  5],0.5533773570102053,309.83,0.10250000000000001
87,5,1.633,0.071,0.138,4.401,2.0,0.8,[55  6  5  3  5],0.9183340392379595,214.06,0.09629999999999998
88,4,2.397,0.081,0.079,2.333,3.5,1.0,[61  5  5  3],0.6533418269215032,237.07,0.24169999999999997
89,5,1.975,0.048,0.167,4.32,2.0,0.8,[57  6  4  5  2],0.842130762802715,259.13,0.0785
90,5,2.42,0.295,0.087,2.479,8.4,1.0,[27 38  3  3  3],1.0999653628023789,155.45,0.44999999999999996
91,5,1.805,0.033,0.083,2.409,0.6,0.8,[61  2  6  3  2],0.688088226742218,315.23,0.1305
92,5,2.068,0.17,0.128,3.072,4.8,0.8,[54  9  4  5  2],0.9235404840384028,189.92,0.24880000000000002
93,5,2.34,0.331,0.206,4.241,8.6,0.8,[18 47  3  2  4],1.0174308013919064,293.24,0.359
94,5,1.588,0.013,0.105,3.242,1.0,0.8,[59  4  6  3  2],0.7695708408067433,351.1,0.0668
95,5,2.161,0.064,0.162,4.531,2.0,0.6,[53  6  4  6  5],0.9862414167764781,236.95,0.11810000000000001
96,3,1.839,0.018,0.198,2.496,1.0,1.0,[69  3  2],0.29277482233477625,295.12,0.003899999999999987
97,4,1.975,0.004,0.141,3.818,0.5,0.5,[58  4  6  6],0.7560652866243247,392.93,0.060500000000000026
98,3,3.138,0.32,0.122,2.13,14.667,1.0,[24 46  4],0.8184438281862153,443.81,0.5118
99,5,2.164,0.083,0.187,4.451,2.6,0.8,[56  5  4  6  3],0.8843562368637499,210.04,0.11240000000000001
