,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,5,2.333,0.301,0.109,3.642,7.6,1.0,[31 31  3  5  4],1.1987217073834473,256.17,0.4253
1,5,1.669,0.03,0.118,3.81,0.8,0.8,[58  3  6  5  2],0.8042600632534215,430.34,0.0789
2,3,2.842,0.046,0.114,2.567,3.0,0.3333333333333333,[62  6  6],0.5556401539672464,880.76,0.2162
3,5,2.305,0.098,0.155,4.226,2.8,0.8,[53  5  4  8  4],0.9770576850578079,315.03,0.17350000000000002
4,5,1.737,0.085,0.169,3.868,2.8,0.6,[56  7  6  3  2],0.865230582838655,549.69,0.08970000000000002
5,4,2.621,0.247,0.142,3.178,8.5,1.0,[23 42  5  4],1.0244589048133321,520.93,0.3671
6,5,2.179,0.089,0.174,4.565,2.4,0.8,[54  9  4  4  3],0.9315468301574097,718.2,0.1329
7,3,3.012,0.032,0.25,2.396,1.333,1.0,[68  4  2],0.3330110964801871,709.66,0.08320000000000002
8,3,2.555,0.058,0.126,2.196,3.0,0.6666666666666666,[64  8  2],0.4636550387504186,614.93,0.1875
9,4,2.439,0.081,0.155,3.266,3.0,1.0,[60  5  4  5],0.6918998188508372,316.35,0.1699
10,5,2.362,0.107,0.177,3.862,3.6,0.6,[54  4  6  7  3],0.9443613001810587,426.19,0.16620000000000001
11,5,1.833,0.268,0.018,1.535,7.8,1.0,[40 31  1  1  1],0.8715139918042106,482.83,0.4333
12,3,3.538,0.419,0.035,1.998,17.667,1.0,[21 48  5],0.8202838867455056,718.68,0.7378
13,4,2.548,0.071,0.13,3.32,3.0,0.75,[57  7  5  5],0.7882587089569054,686.98,0.19580000000000003
14,5,3.229,0.342,0.097,2.958,9.4,1.0,[22 39  5  4  4],1.1956950577437808,485.4,0.5679000000000001
15,4,3.197,0.271,0.054,3.05,8.5,0.75,[32 12 25  5],1.2062067976511592,742.57,0.5367
16,3,3.195,0.311,0.047,1.637,12.667,0.6666666666666666,[17 55  2],0.656034736476312,811.25,0.5835
17,5,2.196,0.096,0.044,2.658,3.2,0.8,[39 24  6  3  2],1.1339990909082314,651.34,0.2716
18,4,2.715,0.24,0.072,2.396,9.0,0.5,[19 45  7  3],1.0045872478904092,461.25,0.43949999999999995
19,4,1.376,0.034,0.183,3.038,2.0,1.0,[65  4  3  2],0.4991666984093023,557.84,-0.011399999999999993
20,4,1.553,0.071,0.138,2.283,2.25,1.0,[66  3  2  3],0.4595356193275126,547.08,0.08829999999999998
21,3,2.89,0.07,0.14,2.547,3.333,0.6666666666666666,[64  6  4],0.4869806121924549,526.9,0.21900000000000003
22,4,2.397,0.113,0.103,2.891,3.25,0.75,[60  5  3  6],0.6857643232464778,494.82,0.24969999999999998
23,4,1.642,0.032,0.189,3.292,1.75,1.0,[63  5  4  2],0.574387402252325,494.03,0.007199999999999984
